"","destCtryName","TotalSAarrival"
"1","Afghanistan",217
"2","Albania",21
"3","Algeria",30
"4","Angola",5346
"5","Antigua-Barbuda",6
"6","Argentina",290
"7","Armenia",57
"8","Aruba",29
"9","Australia",2569
"10","Austria",1844
"11","Azerbaijan",96
"12","Bahamas",1
"13","Bahrain",661
"14","Bangladesh",2895
"15","Barbados",30
"16","Belarus",56
"17","Belgium",3886
"18","Benin",517
"19","Bermuda",100
"20","Bolivia",3
"21","Bosnia-Herzegovina",49
"22","Botswana",12264
"23","Brazil",2325
"24","Brunei Darussalam",16
"25","Bulgaria",402
"26","Burkina Faso",613
"27","Burundi",333
"28","Cambodia",23
"29","Cameroon",1221
"30","Canada",4617
"31","Cayman Islands",13
"32","Central African Rep",149
"33","Chad",206
"34","Chile",102
"35","China",6480
"36","Colombia",41
"37","Comoros",99
"38","Congo (Brazzaville)",644
"39","Congo (Kinshasa)",9012
"40","Costa Rica",440
"41","Cote D'Ivoire",1670
"42","Croatia",552
"43","Cuba",644
"44","Curacao",21
"45","Cyprus",483
"46","Czech Republic",563
"47","Denmark",1545
"48","Djibouti",85
"49","Dominican Rep",143
"50","Ecuador",32
"51","Egypt",4157
"52","Equatorial Guinea",160
"53","Estonia",70
"54","Ethiopia",20666
"55","Fiji",23
"56","Finland",476
"57","France",9492
"58","Gabon",923
"59","Gambia",26
"60","Georgia",45
"61","Germany",16761
"62","Ghana",5981
"63","Gibraltar",35
"64","Greece",1826
"65","Grenada",8
"66","Guatemala",11
"67","Guinea",1279
"68","Guinea-Bissau",96
"69","Hong Kong (SAR)",264
"70","Hungary",370
"71","Iceland",45
"72","India",7841
"73","Indonesia",1384
"74","Iran",135
"75","Iraq",863
"76","Ireland",3237
"77","Isle of Man",19
"78","Israel",3871
"79","Italy",3676
"80","Jamaica",11
"81","Japan",726
"82","Jersey",157
"83","Jordan",434
"84","Kazakhstan",67
"85","Kenya",15739
"86","Korea (South)",1249
"87","Kuwait",224
"88","Kyrgyzstan",22
"89","Latvia",147
"90","Lebanon",593
"91","Lesotho",2060
"92","Liberia",299
"93","Lithuania",230
"94","Luxembourg",383
"95","Macedonia",27
"96","Madagascar",176
"97","Malawi",12082
"98","Malaysia",1190
"99","Maldives",1547
"100","Mali",942
"101","Malta",143
"102","Mauritania",22
"103","Mauritius",442
"104","Mayotte",1
"105","Mexico",630
"106","Moldova",8
"107","Montenegro",67
"108","Morocco",342
"109","Mozambique",19490
"110","Namibia",26010
"111","Nepal",66
"112","Netherlands",10879
"113","New Zealand",1308
"114","Niger",163
"115","Nigeria",14936
"116","Norway",863
"117","Oman",349
"118","Pakistan",7034
"119","Panama",330
"120","Papua New Guinea",13
"121","Paraguay",10
"122","Peru",51
"123","Philippines",5578
"124","Poland",1280
"125","Portugal",3752
"126","Puerto Rico",5
"127","Qatar",6837
"128","Romania",463
"129","Russia",3843
"130","Rwanda",1974
"131","Sao Tome-Principe",116
"132","Saudi Arabia",2295
"133","Senegal",1021
"134","Serbia",280
"135","Seychelles",1234
"136","Sierra Leone",280
"137","Singapore",2551
"138","Slovenia",12
"139","Somalia",669
"140","South Sudan",41
"141","Spain",2732
"142","Sri Lanka",309
"143","St Helena",1
"144","St Lucia",5
"145","St Maarten (Dutch Part)",171
"146","Sudan",857
"147","Suriname",24
"148","Swaziland",2624
"149","Sweden",1608
"150","Switzerland",5222
"151","Taiwan",368
"152","Tajikistan",17
"153","Tanzania",13045
"154","Thailand",952
"155","Togo",407
"156","Tunisia",298
"157","Turkey",5928
"158","Turks-Caicos",4
"159","Uganda",4206
"160","Ukraine",2183
"161","United Arab Emirates",28723
"162","United Kingdom",34877
"163","United States",25205
"164","Uruguay",259
"165","Uzbekistan",38
"166","Viet Nam",225
"167","Virgin Islands (GB)",4
"168","Zambia",21679
"169","Zimbabwe",48329
