strain	region	country																				
Algeria/12601/2022	Africa	Algeria																				
Algeria/3893/2022	Africa	Algeria																				
Algeria/3319/2022	Africa	Algeria																				
Algeria/12664/2022	Africa	Algeria																				
Algeria/12662/2022	Africa	Algeria																				
Algeria/3921/2022	Africa	Algeria																				
Algeria/12614/2022	Africa	Algeria																				
Algeria/12608/2022	Africa	Algeria																				
Algeria/12606/2022	Africa	Algeria																				
Algeria/12654/2022	Africa	Algeria																				
Argentina/INEI119216/2022	South America	Argentina																				
Argentina/INEI119242/2022	South America	Argentina																				
Argentina/INEI119405/2022	South America	Argentina																				
Australia/NSW-RPAH-2721/2022	Oceania	Australia																				
Australia/QLD0x00C3A0/2022	Oceania	Australia																				
Australia/NSW-SAVID-10559/2022	Oceania	Australia																				
Australia/NSW-SAVID-10558/2022	Oceania	Australia																				
Australia/NSW-SAVID-10539/2022	Oceania	Australia																				
Australia/NSW-SAVID-10538/2022	Oceania	Australia																				
Australia/NSW-RPAH-2719/2022	Oceania	Australia																				
Australia/NSW-RPAH-2674/2022	Oceania	Australia																				
Australia/NSW-RPAH-2706/2022	Oceania	Australia																				
Australia/NSW-RPAH-2705/2022	Oceania	Australia																				
Australia/NSW-RPAH-2686/2022	Oceania	Australia																				
Australia/NSW-RPAH-2685/2022	Oceania	Australia																				
Australia/NSW-RPAH-2684/2022	Oceania	Australia																				
Australia/QLD0x00C741/2022	Oceania	Australia																				
Australia/NSW-RPAH-2669/2022	Oceania	Australia																				
Australia/NSW-RPAH-2715/2022	Oceania	Australia																				
Australia/QLD0x00C8B7/2022	Oceania	Australia																				
Australia/QLD0x00D001/2022	Oceania	Australia																				
Australia/QLD0x00CBA1/2022	Oceania	Australia																				
Australia/SA113979/2022	Oceania	Australia																				
Australia/SA109050/2022	Oceania	Australia																				
Australia/SA108801/2022	Oceania	Australia																				
Australia/SA104486/2022	Oceania	Australia																				
Australia/SA104374/2022	Oceania	Australia																				
Australia/SA103825/2022	Oceania	Australia																				
Australia/SA103794/2022	Oceania	Australia																				
Australia/SA101600/2022	Oceania	Australia																				
Australia/SA101512/2022	Oceania	Australia																				
Australia/QLD39179/2022	Oceania	Australia																				
Australia/QLD0x00D0F0/2022	Oceania	Australia																				
Australia/NSW-RPAH-2668/2022	Oceania	Australia																				
Australia/QLD0x00CF43/2022	Oceania	Australia																				
Australia/QLD0x00CD23/2022	Oceania	Australia																				
Australia/QLD0x00CBA9/2022	Oceania	Australia																				
Australia/QLD0x00CAE1/2022	Oceania	Australia																				
Australia/NSW-RPAH-2667/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22138/2022	Oceania	Australia																				
Australia/NSW-RPAH-2650/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22077/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22011/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22009/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22007/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21987/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21981/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21976/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21973/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21972/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21970/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21952/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21950/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21947/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21946/2022	Oceania	Australia																				
Australia/NSW-ICPMR-21945/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22078/2022	Oceania	Australia																				
Australia/NSW-RPAH-2666/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22079/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22084/2022	Oceania	Australia																				
Australia/NSW-RPAH-2613/2022	Oceania	Australia																				
Australia/NSW-RPAH-2526/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22142/2022	Oceania	Australia																				
Australia/SA113981/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22118/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22116/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22112/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22104/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22103/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22098/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22097/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22093/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22090/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22088/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22087/2022	Oceania	Australia																				
Australia/NSW-ICPMR-22082/2022	Oceania	Australia																				
Australia/SA122552/2022	Oceania	Australia																				
Australia/SA128965/2022	Oceania	Australia																				
Australia/SA127909/2022	Oceania	Australia																				
Australia/VIC43414/2022	Oceania	Australia																				
Australia/VIC42953/2022	Oceania	Australia																				
Australia/VIC42117/2022	Oceania	Australia																				
Australia/VIC41734/2022	Oceania	Australia																				
Australia/VIC41644/2022	Oceania	Australia																				
Australia/VIC41472/2022	Oceania	Australia																				
Australia/VIC41468/2022	Oceania	Australia																				
Australia/VIC41464/2022	Oceania	Australia																				
Australia/VIC41458/2022	Oceania	Australia																				
Australia/VIC41396/2022	Oceania	Australia																				
Australia/VIC41280/2022	Oceania	Australia																				
Australia/VIC41278/2022	Oceania	Australia																				
Australia/VIC41248/2022	Oceania	Australia																				
Australia/VIC41171/2022	Oceania	Australia																				
Australia/VIC40958/2022	Oceania	Australia																				
Australia/VIC43860/2022	Oceania	Australia																				
Australia/VIC40800/2022	Oceania	Australia																				
Australia/VIC43881/2022	Oceania	Australia																				
Australia/VIC43981/2022	Oceania	Australia																				
Australia/WA988/2022	Oceania	Australia																				
Australia/WA973/2022	Oceania	Australia																				
Australia/WA951/2022	Oceania	Australia																				
Australia/WA950/2022	Oceania	Australia																				
Australia/WA920/2022	Oceania	Australia																				
Australia/WA1397/2022	Oceania	Australia																				
Australia/WA1381/2022	Oceania	Australia																				
Australia/WA1346/2022	Oceania	Australia																				
Australia/WA1341/2022	Oceania	Australia																				
Australia/WA1192/2022	Oceania	Australia																				
Australia/WA1062/2022	Oceania	Australia																				
Australia/WA1056/2022	Oceania	Australia																				
Australia/WA1014/2022	Oceania	Australia																				
