strain	region	country
Argentina/INEI106715/2021	South America	Argentina
Argentina/INEI108360/2021	South America	Argentina
Argentina/PAIS-A0947/2021	South America	Argentina
Argentina/PAIS-G0331/2021	South America	Argentina
Argentina/PAIS-A0932/2021	South America	Argentina
Argentina/PAIS-A0854/2021	South America	Argentina
Argentina/INEI103426/2021	South America	Argentina
Argentina/INEI103424/2021	South America	Argentina
Argentina/INEI104344/2021	South America	Argentina
Argentina/PAIS-A0827/2021	South America	Argentina
Argentina/PAIS-A0931/2021	South America	Argentina
Argentina/INEI103412/2021	South America	Argentina
Argentina/INEI104337/2021	South America	Argentina
Argentina/PAIS-A1006/2021	South America	Argentina
Argentina/INEI104338/2021	South America	Argentina
Argentina/INEI104364/2021	South America	Argentina
Argentina/INEI104413/2021	South America	Argentina
Argentina/PAIS-G0257/2021	South America	Argentina
Argentina/PAIS-G0239/2021	South America	Argentina
Argentina/PAIS-G0237/2021	South America	Argentina
Argentina/PAIS-E0325/2021	South America	Argentina
Argentina/PAIS-E0270/2021	South America	Argentina
Argentina/PAIS-E0252/2021	South America	Argentina
Argentina/PAIS-E0269/2021	South America	Argentina
Argentina/PAIS-E0249/2021	South America	Argentina
Argentina/PAIS-E0275/2021	South America	Argentina
Argentina/PAIS-E0282/2021	South America	Argentina
Argentina/INEI103434/2021	South America	Argentina
Argentina/INEI104362/2021	South America	Argentina
Argentina/PAIS-E0301/2021	South America	Argentina
Argentina/PAIS-E0303/2021	South America	Argentina
Argentina/INEI104355/2021	South America	Argentina
Argentina/INEI104255/2021	South America	Argentina
Argentina/INEI104365/2021	South America	Argentina
Argentina/PAIS-E0323/2021	South America	Argentina
Argentina/PAIS-E0291/2021	South America	Argentina
Argentina/INEI103775/2021	South America	Argentina
Argentina/PAIS-A0857/2021	South America	Argentina
Argentina/INEI104284/2021	South America	Argentina
Argentina/PAIS-A0863/2021	South America	Argentina
Argentina/INEI104140/2021	South America	Argentina
Argentina/INEI103650/2021	South America	Argentina
Argentina/INEI103606/2021	South America	Argentina
Argentina/INEI103605/2021	South America	Argentina
Argentina/INEI103604/2021	South America	Argentina
Argentina/INEI104098/2021	South America	Argentina
Argentina/INEI103842/2021	South America	Argentina
Argentina/INEI103603/2021	South America	Argentina
Argentina/PAIS-A0945/2021	South America	Argentina
Argentina/PAIS-E0322/2021	South America	Argentina
Argentina/PAIS-A0869/2021	South America	Argentina
Argentina/PAIS-E0320/2021	South America	Argentina
Argentina/PAIS-A0825/2021	South America	Argentina
Argentina/INEI103773/2021	South America	Argentina
Argentina/PAIS-E0271/2021	South America	Argentina
Argentina/INEI104184/2021	South America	Argentina
Argentina/INEI104182/2021	South America	Argentina
Argentina/INEI103918/2021	South America	Argentina
Argentina/INEI102896/2021	South America	Argentina
Argentina/PAIS-A0948/2021	South America	Argentina
Argentina/INEI103933/2021	South America	Argentina
Argentina/INEI103441/2021	South America	Argentina
Argentina/INEI104291/2021	South America	Argentina
Argentina/INEI104146/2021	South America	Argentina
Argentina/INEI104329/2021	South America	Argentina
Argentina/INEI104318/2021	South America	Argentina
Argentina/INEI104178/2021	South America	Argentina
Argentina/INEI103291/2021	South America	Argentina
Argentina/INEI103375/2021	South America	Argentina
Argentina/INEI104289/2021	South America	Argentina
Argentina/INEI104183/2021	South America	Argentina
Argentina/INEI104303/2021	South America	Argentina
Argentina/PAIS-E0264/2021	South America	Argentina
Argentina/PAIS-E0254/2021	South America	Argentina
Argentina/PAIS-E0293/2021	South America	Argentina
Argentina/PAIS-E0227/2021	South America	Argentina
Argentina/PAIS-E0242/2021	South America	Argentina
Argentina/PAIS-E0329/2021	South America	Argentina
Argentina/INEI104372/2021	South America	Argentina
Argentina/INEI104375/2021	South America	Argentina
Argentina/INEI104247/2021	South America	Argentina
Argentina/PAIS-E0219/2021	South America	Argentina
Argentina/INEI104360/2021	South America	Argentina
Argentina/INEI104358/2021	South America	Argentina
Argentina/INEI104409/2021	South America	Argentina
Argentina/PAIS-J00014/2021	South America	Argentina
Argentina/PAIS-J00007/2021	South America	Argentina
Argentina/INEI104356/2021	South America	Argentina
Argentina/PAIS-A0842/2021	South America	Argentina
Argentina/PAIS-J00008/2021	South America	Argentina
Argentina/PAIS-J00025/2021	South America	Argentina
Argentina/PAIS-E0236/2021	South America	Argentina
Argentina/PAIS-E0217/2021	South America	Argentina
Argentina/PAIS-E0240/2021	South America	Argentina
Argentina/PAIS-E0207/2021	South America	Argentina
Argentina/INEI104778/2021	South America	Argentina
