strain	region	country
Austria/CeMM19895/2021	Europe	Austria
Austria/CeMM20168/2021	Europe	Austria
env/Austria/CeMM20507/2021	Europe	Austria
Austria/MUIV-0247/2021	Europe	Austria
Austria/CeMM19927/2021	Europe	Austria
Austria/CeMM15372/2021	Europe	Austria
Austria/CeMM19767/2021	Europe	Austria
env/Austria/CeMM16427/2021	Europe	Austria
Austria/CeMM19390/2021	Europe	Austria
Austria/CeMM19387/2021	Europe	Austria
env/Austria/CeMM19713/2021	Europe	Austria
Austria/CeMM18333/2021	Europe	Austria
env/Austria/CeMM19731/2021	Europe	Austria
env/Austria/CeMM21235/2021	Europe	Austria
Austria/CeMM19603/2021	Europe	Austria
Austria/CeMM19846/2021	Europe	Austria
Austria/CeMM16446/2021	Europe	Austria
env/Austria/CeMM19644/2021	Europe	Austria
Austria/KILM1469/2021	Europe	Austria
env/Austria/CeMM20108/2021	Europe	Austria
env/Austria/CeMM19726/2021	Europe	Austria
Austria/KILM2084/2021	Europe	Austria
env/Austria/CeMM20085/2021	Europe	Austria
env/Austria/CeMM20088/2021	Europe	Austria
Austria/CeMM20383/2021	Europe	Austria
Austria/CeMM20396/2021	Europe	Austria
Austria/CeMM19198/2021	Europe	Austria
env/Austria/CeMM20566/2021	Europe	Austria
Austria/CeMM20286/2021	Europe	Austria
env/Austria/CeMM20554/2021	Europe	Austria
Austria/CeMM19932/2021	Europe	Austria
Austria/CeMM20277/2021	Europe	Austria
env/Austria/CeMM20092/2021	Europe	Austria
Austria/CeMM21118/2021	Europe	Austria
env/Austria/CeMM20496/2021	Europe	Austria
env/Austria/CeMM21226/2021	Europe	Austria
env/Austria/CeMM20570/2021	Europe	Austria
Austria/CeMM20375/2021	Europe	Austria
Austria/CeMM18982/2021	Europe	Austria
Austria/CeMM20158/2021	Europe	Austria
Austria/CeMM19009/2021	Europe	Austria
Austria/CeMM20209/2021	Europe	Austria
Austria/CeMM16091/2021	Europe	Austria
Austria/CeMM15473/2021	Europe	Austria
Austria/CeMM21137/2021	Europe	Austria
Austria/CeMM21001/2021	Europe	Austria
Austria/CeMM21008/2021	Europe	Austria
env/Austria/CeMM18953/2021	Europe	Austria
Austria/CeMM21002/2021	Europe	Austria
Austria/CeMM21192/2021	Europe	Austria
Austria/CeMM21326/2021	Europe	Austria
env/Austria/CeMM20490/2021	Europe	Austria
Austria/CeMM16039/2021	Europe	Austria
Austria/CeMM17461/2021	Europe	Austria
Austria/CeMM16147/2021	Europe	Austria
Austria/CeMM17460/2021	Europe	Austria
Austria/CeMM20285/2021	Europe	Austria
Austria/CeMM16999/2021	Europe	Austria
env/Austria/CeMM21225/2021	Europe	Austria
Austria/CeMM21184/2021	Europe	Austria
Austria/CeMM17219/2021	Europe	Austria
Austria/CeMM20206/2021	Europe	Austria
env/Austria/CeMM20553/2021	Europe	Austria
env/Austria/CeMM20549/2021	Europe	Austria
Austria/CeMM17222/2021	Europe	Austria
Austria/CeMM16968/2021	Europe	Austria
Austria/CeMM18665/2021	Europe	Austria
env/Austria/CeMM21221/2021	Europe	Austria
Austria/CeMM20877/2021	Europe	Austria
env/Austria/CeMM20530/2021	Europe	Austria
Austria/CeMM20368/2021	Europe	Austria
Austria/CeMM21187/2021	Europe	Austria
Austria/CeMM21124/2021	Europe	Austria
env/Austria/CeMM20494/2021	Europe	Austria
env/Austria/CeMM20905/2021	Europe	Austria
Austria/CeMM20274/2021	Europe	Austria
env/Austria/CeMM20480/2021	Europe	Austria
Austria/CeMM18841/2021	Europe	Austria
Austria/CeMM18613/2021	Europe	Austria
env/Austria/CeMM20485/2021	Europe	Austria
env/Austria/CeMM21305/2021	Europe	Austria
env/Austria/CeMM21273/2021	Europe	Austria
Austria/CeMM18679/2021	Europe	Austria
Austria/CeMM20989/2021	Europe	Austria
env/Austria/CeMM21220/2021	Europe	Austria
env/Austria/CeMM19322/2021	Europe	Austria
env/Austria/CeMM19288/2021	Europe	Austria
