strain	region	country
Argentina/INEI119858/2022	South America	Argentina
Argentina/INEI119841/2022	South America	Argentina
Argentina/INEI118875/2022	South America	Argentina
Argentina/INEI119839/2022	South America	Argentina
Argentina/INEI119835/2022	South America	Argentina
Argentina/INEI119833/2022	South America	Argentina
Argentina/INEI119824/2022	South America	Argentina
Argentina/INEI119811/2022	South America	Argentina
Argentina/INEI119810/2022	South America	Argentina
Argentina/INEI119808/2022	South America	Argentina
Argentina/INEI119807/2022	South America	Argentina
Argentina/INEI119838/2022	South America	Argentina
Argentina/INEI118871/2022	South America	Argentina
Argentina/INEI119575/2022	South America	Argentina
Argentina/INEI118840/2022	South America	Argentina
Argentina/INEI117897/2022	South America	Argentina
Argentina/INEI117882/2022	South America	Argentina
Argentina/INEI117824/2022	South America	Argentina
Argentina/INEI117774/2022	South America	Argentina
Argentina/INEI117753/2022	South America	Argentina
Argentina/INEI117741/2022	South America	Argentina
Argentina/INEI117730/2022	South America	Argentina
Argentina/INEI117728/2022	South America	Argentina
Argentina/INEI117725/2022	South America	Argentina
Argentina/INEI117724/2022	South America	Argentina
Argentina/INEI117723/2022	South America	Argentina
Argentina/INEI117722/2022	South America	Argentina
Argentina/INEI117716/2022	South America	Argentina
Argentina/INEI117713/2022	South America	Argentina
Argentina/INEI117709/2022	South America	Argentina
Argentina/INEI117940/2022	South America	Argentina
Argentina/INEI117707/2022	South America	Argentina
Argentina/INEI117969/2022	South America	Argentina
Argentina/INEI118038/2022	South America	Argentina
Argentina/INEI118215/2022	South America	Argentina
Argentina/INEI118199/2022	South America	Argentina
Argentina/INEI118196/2022	South America	Argentina
Argentina/INEI118193/2022	South America	Argentina
Argentina/INEI118190/2022	South America	Argentina
Argentina/INEI118185/2022	South America	Argentina
Argentina/INEI118159/2022	South America	Argentina
Argentina/INEI118136/2022	South America	Argentina
Argentina/INEI118135/2022	South America	Argentina
Argentina/INEI118125/2022	South America	Argentina
Argentina/INEI118115/2022	South America	Argentina
Argentina/INEI118112/2022	South America	Argentina
Argentina/INEI118099/2022	South America	Argentina
Argentina/INEI118081/2022	South America	Argentina
Argentina/INEI118062/2022	South America	Argentina
Argentina/INEI117983/2022	South America	Argentina
Argentina/INEI117635/2022	South America	Argentina
Argentina/INEI117632/2022	South America	Argentina
Argentina/INEI117630/2022	South America	Argentina
Argentina/INEI117179/2022	South America	Argentina
Argentina/INEI117161/2022	South America	Argentina
Argentina/INEI117136/2022	South America	Argentina
Argentina/INEI117133/2022	South America	Argentina
Argentina/INEI117019/2022	South America	Argentina
Argentina/INEI116931/2021	South America	Argentina
Argentina/INEI116779/2021	South America	Argentina
Argentina/INEI116774/2021	South America	Argentina
Argentina/INEI116636/2021	South America	Argentina
Argentina/INEI116606/2021	South America	Argentina
Argentina/INEI116541/2021	South America	Argentina
Argentina/INEI116469/2021	South America	Argentina
Argentina/INEI116421/2021	South America	Argentina
Argentina/INEI116406/2021	South America	Argentina
Argentina/INEI118867/2022	South America	Argentina
Argentina/INEI117181/2022	South America	Argentina
Argentina/INEI117185/2022	South America	Argentina
Argentina/INEI117194/2022	South America	Argentina
Argentina/INEI117195/2022	South America	Argentina
Argentina/INEI117574/2022	South America	Argentina
Argentina/INEI117567/2022	South America	Argentina
Argentina/INEI117561/2022	South America	Argentina
Argentina/INEI117545/2022	South America	Argentina
Argentina/INEI117544/2022	South America	Argentina
Argentina/INEI117533/2022	South America	Argentina
Argentina/INEI117525/2022	South America	Argentina
Argentina/INEI118218/2022	South America	Argentina
Argentina/INEI117524/2022	South America	Argentina
Argentina/INEI117497/2022	South America	Argentina
Argentina/INEI117471/2022	South America	Argentina
Argentina/INEI117447/2022	South America	Argentina
Argentina/INEI117446/2022	South America	Argentina
Argentina/INEI117439/2022	South America	Argentina
Argentina/INEI117347/2022	South America	Argentina
Argentina/INEI117282/2021	South America	Argentina
Argentina/INEI117523/2022	South America	Argentina
Argentina/INEI118224/2022	South America	Argentina
Argentina/INEI117537/2022	South America	Argentina
Argentina/INEI118237/2022	South America	Argentina
Argentina/INEI118612/2022	South America	Argentina
Argentina/INEI118608/2022	South America	Argentina
Argentina/INEI118599/2022	South America	Argentina
Argentina/INEI118585/2022	South America	Argentina
Argentina/INEI118582/2022	South America	Argentina
Argentina/INEI118574/2022	South America	Argentina
Argentina/INEI118539/2022	South America	Argentina
Argentina/INEI118532/2022	South America	Argentina
Argentina/INEI118525/2022	South America	Argentina
Argentina/INEI118512/2022	South America	Argentina
Argentina/INEI118510/2022	South America	Argentina
Argentina/INEI118480/2022	South America	Argentina
Argentina/INEI118476/2022	South America	Argentina
Argentina/INEI118470/2022	South America	Argentina
Argentina/INEI118468/2022	South America	Argentina
Argentina/INEI118658/2022	South America	Argentina
Argentina/INEI118660/2022	South America	Argentina
Argentina/INEI118661/2022	South America	Argentina
Argentina/INEI118668/2022	South America	Argentina
Argentina/INEI118820/2022	South America	Argentina
Argentina/INEI118234/2022	South America	Argentina
Argentina/INEI118819/2022	South America	Argentina
Argentina/INEI118808/2022	South America	Argentina
Argentina/INEI118795/2022	South America	Argentina
Argentina/INEI118775/2022	South America	Argentina
