strain	region	country
Algeria/12463/2022	Africa	Algeria
Algeria/3893/2022	Africa	Algeria
Algeria/2663/2022	Africa	Algeria
Algeria/12662/2022	Africa	Algeria
Algeria/12654/2022	Africa	Algeria
Algeria/3921/2022	Africa	Algeria
Algeria/12608/2022	Africa	Algeria
Algeria/12606/2022	Africa	Algeria
Algeria/12601/2022	Africa	Algeria
Algeria/12614/2022	Africa	Algeria
Argentina/INEI119216/2022	South America	Argentina
Argentina/INEI119242/2022	South America	Argentina
Argentina/INEI119405/2022	South America	Argentina
Australia/QLD0x00D0F0/2022	Oceania	Australia
Australia/SA103825/2022	Oceania	Australia
Australia/SA103794/2022	Oceania	Australia
Australia/SA101600/2022	Oceania	Australia
Australia/SA101512/2022	Oceania	Australia
Australia/QLD39179/2022	Oceania	Australia
Australia/QLD0x00CF43/2022	Oceania	Australia
Australia/NSW-SAVID-10558/2022	Oceania	Australia
Australia/QLD0x00CAE1/2022	Oceania	Australia
Australia/QLD0x00C8B7/2022	Oceania	Australia
Australia/QLD0x00C741/2022	Oceania	Australia
Australia/QLD0x00C3A0/2022	Oceania	Australia
Australia/NSW-SAVID-10559/2022	Oceania	Australia
Australia/SA104438/2022	Oceania	Australia
Australia/NSW-SAVID-10539/2022	Oceania	Australia
Australia/QLD0x00CD23/2022	Oceania	Australia
Australia/SA104486/2022	Oceania	Australia
Australia/SA113981/2022	Oceania	Australia
Australia/SA109050/2022	Oceania	Australia
Australia/SA128136/2022	Oceania	Australia
Australia/SA127909/2022	Oceania	Australia
Australia/SA122763/2022	Oceania	Australia
Australia/SA122762/2022	Oceania	Australia
Australia/SA122595/2022	Oceania	Australia
Australia/SA122552/2022	Oceania	Australia
Australia/SA120728/2022	Oceania	Australia
Australia/SA118707/2022	Oceania	Australia
Australia/SA116945/2022	Oceania	Australia
Australia/SA116919/2022	Oceania	Australia
Australia/SA115740/2022	Oceania	Australia
Australia/NSW-SAVID-10538/2022	Oceania	Australia
Australia/SA113979/2022	Oceania	Australia
Australia/SA112320/2022	Oceania	Australia
Australia/SA111492/2022	Oceania	Australia
Australia/SA108801/2022	Oceania	Australia
Australia/NSW-RPAH-2721/2022	Oceania	Australia
Australia/NSW-RPAH-2685/2022	Oceania	Australia
Australia/NSW-RPAH-2715/2022	Oceania	Australia
Australia/NSW-ICPMR-22098/2022	Oceania	Australia
Australia/NSW-ICPMR-22097/2022	Oceania	Australia
Australia/NSW-ICPMR-22093/2022	Oceania	Australia
Australia/NSW-ICPMR-22090/2022	Oceania	Australia
Australia/NSW-ICPMR-22088/2022	Oceania	Australia
Australia/NSW-ICPMR-22087/2022	Oceania	Australia
Australia/NSW-ICPMR-22084/2022	Oceania	Australia
Australia/NSW-ICPMR-22082/2022	Oceania	Australia
Australia/NSW-ICPMR-22079/2022	Oceania	Australia
Australia/NSW-ICPMR-22078/2022	Oceania	Australia
Australia/NSW-ICPMR-22077/2022	Oceania	Australia
Australia/NSW-ICPMR-22011/2022	Oceania	Australia
Australia/NSW-ICPMR-22009/2022	Oceania	Australia
Australia/NSW-ICPMR-22007/2022	Oceania	Australia
Australia/NSW-ICPMR-21987/2022	Oceania	Australia
Australia/NSW-ICPMR-22103/2022	Oceania	Australia
Australia/NSW-RPAH-2719/2022	Oceania	Australia
Australia/NSW-ICPMR-22104/2022	Oceania	Australia
Australia/NSW-ICPMR-22116/2022	Oceania	Australia
Australia/NSW-RPAH-2706/2022	Oceania	Australia
Australia/NSW-RPAH-2705/2022	Oceania	Australia
Australia/NSW-RPAH-2686/2022	Oceania	Australia
Australia/SA128214/2022	Oceania	Australia
Australia/NSW-RPAH-2684/2022	Oceania	Australia
Australia/NSW-RPAH-2674/2022	Oceania	Australia
Australia/NSW-RPAH-2669/2022	Oceania	Australia
Australia/NSW-RPAH-2668/2022	Oceania	Australia
Australia/NSW-RPAH-2667/2022	Oceania	Australia
Australia/NSW-RPAH-2666/2022	Oceania	Australia
Australia/NSW-RPAH-2650/2022	Oceania	Australia
Australia/NSW-RPAH-2613/2022	Oceania	Australia
Australia/NSW-ICPMR-22142/2022	Oceania	Australia
Australia/NSW-ICPMR-22138/2022	Oceania	Australia
Australia/NSW-ICPMR-22118/2022	Oceania	Australia
Australia/NSW-ICPMR-22112/2022	Oceania	Australia
Australia/SA128219/2022	Oceania	Australia
Australia/SA135915/2022	Oceania	Australia
Australia/SA131021/2022	Oceania	Australia
Australia/VIC43071/2022	Oceania	Australia
Australia/VIC42978/2022	Oceania	Australia
Australia/VIC42953/2022	Oceania	Australia
Australia/VIC42860/2022	Oceania	Australia
Australia/VIC41734/2022	Oceania	Australia
Australia/VIC41644/2022	Oceania	Australia
Australia/VIC41472/2022	Oceania	Australia
Australia/VIC41468/2022	Oceania	Australia
Australia/VIC41464/2022	Oceania	Australia
Australia/VIC41458/2022	Oceania	Australia
Australia/VIC41419/2022	Oceania	Australia
Australia/VIC41396/2022	Oceania	Australia
Australia/VIC41280/2022	Oceania	Australia
Australia/VIC41278/2022	Oceania	Australia
Australia/VIC41061/2022	Oceania	Australia
Australia/VIC43414/2022	Oceania	Australia
Australia/VIC41039/2022	Oceania	Australia
Australia/VIC43860/2022	Oceania	Australia
Australia/VIC43957/2022	Oceania	Australia
Singapore/2062/2022	Asia	Singapore
Australia/WA988/2022	Oceania	Australia
Australia/WA973/2022	Oceania	Australia
Australia/WA951/2022	Oceania	Australia
Australia/WA950/2022	Oceania	Australia
Australia/WA920/2022	Oceania	Australia
Australia/WA1359/2022	Oceania	Australia
Australia/WA1358/2022	Oceania	Australia
Australia/WA1192/2022	Oceania	Australia
Australia/WA1062/2022	Oceania	Australia
Australia/WA1056/2022	Oceania	Australia
Australia/WA1014/2022	Oceania	Australia
Australia/WA1013/2022	Oceania	Australia
Australia/VIC44007/2022	Oceania	Australia
Australia/VIC43981/2022	Oceania	Australia
Australia/VIC43881/2022	Oceania	Australia
Australia/SA128965/2022	Oceania	Australia
Australia/VIC40958/2022	Oceania	Australia
Australia/VIC40695/2022	Oceania	Australia
Australia/SA141164/2022	Oceania	Australia
Australia/SA139705/2022	Oceania	Australia
Australia/SA139650/2022	Oceania	Australia
Australia/SA139091/2022	Oceania	Australia
Australia/SA139090/2022	Oceania	Australia
Australia/SA139079/2022	Oceania	Australia
Australia/SA138568/2022	Oceania	Australia
Australia/SA137716/2022	Oceania	Australia
Australia/SA137680/2022	Oceania	Australia
Australia/SA136819/2022	Oceania	Australia
Australia/SA136737/2022	Oceania	Australia
Australia/NSW-ICPMR-21981/2022	Oceania	Australia
Australia/SA135665/2022	Oceania	Australia
Australia/SA134922/2022	Oceania	Australia
Australia/SA133145/2022	Oceania	Australia
Australia/SA142533/2022	Oceania	Australia
Australia/VIC40800/2022	Oceania	Australia
Australia/SA145364/2022	Oceania	Australia
Australia/SA145747/2022	Oceania	Australia
Australia/VIC40017/2022	Oceania	Australia
Australia/VIC38468/2022	Oceania	Australia
Australia/VIC38254/2022	Oceania	Australia
Australia/SA99914/2022	Oceania	Australia
Australia/SA99431/2022	Oceania	Australia
Australia/SA82163/2022	Oceania	Australia
Australia/SA79356/2022	Oceania	Australia
Australia/SA79146/2022	Oceania	Australia
Australia/SA78976/2022	Oceania	Australia
Australia/SA73946/2022	Oceania	Australia
Australia/SA65381/2022	Oceania	Australia
Australia/SA63563/2022	Oceania	Australia
Australia/SA59016/2022	Oceania	Australia
Australia/SA51079/2022	Oceania	Australia
Australia/SA145769/2022	Oceania	Australia
Australia/SA145463/2022	Oceania	Australia
Australia/NSW-ICPMR-21976/2022	Oceania	Australia
Australia/VIC40236/2022	Oceania	Australia
Australia/NSW-ICPMR-21972/2022	Oceania	Australia
Australia/NSW-ICPMR-21133/2022	Oceania	Australia
Australia/NSW-ICPMR-21131/2022	Oceania	Australia
Australia/NSW-ICPMR-21120/2022	Oceania	Australia
Australia/NSW-ICPMR-21076/2022	Oceania	Australia
Australia/NSW-ICPMR-21073/2022	Oceania	Australia
Australia/NSW-ICPMR-21033/2022	Oceania	Australia
Australia/NSW-ICPMR-21025/2022	Oceania	Australia
Australia/NSW-ICPMR-21020/2022	Oceania	Australia
Australia/NSW-ICPMR-21012/2022	Oceania	Australia
Australia/NSW-ICPMR-20973/2022	Oceania	Australia
Australia/NSW-ICPMR-20917/2022	Oceania	Australia
Australia/NSW-ICPMR-20912/2022	Oceania	Australia
Australia/NSW-ICPMR-20910/2022	Oceania	Australia
Australia/NSW-ICPMR-20908/2022	Oceania	Australia
Australia/NSW-ICPMR-20900/2022	Oceania	Australia
Australia/NSW-ICPMR-21182/2022	Oceania	Australia
Australia/NSW-ICPMR-20899/2022	Oceania	Australia
Australia/NSW-ICPMR-21192/2022	Oceania	Australia
Australia/NSW-ICPMR-21224/2022	Oceania	Australia
Australia/NSW-ICPMR-21376/2022	Oceania	Australia
Australia/NSW-ICPMR-21329/2022	Oceania	Australia
Australia/NSW-ICPMR-21312/2022	Oceania	Australia
Australia/NSW-ICPMR-21307/2022	Oceania	Australia
Australia/NSW-ICPMR-21305/2022	Oceania	Australia
Australia/NSW-ICPMR-21299/2022	Oceania	Australia
Australia/NSW-ICPMR-21298/2022	Oceania	Australia
Australia/NSW-ICPMR-21295/2022	Oceania	Australia
Australia/NSW-ICPMR-21286/2022	Oceania	Australia
Australia/NSW-ICPMR-21273/2022	Oceania	Australia
Australia/NSW-ICPMR-21272/2022	Oceania	Australia
Australia/NSW-ICPMR-21238/2022	Oceania	Australia
Australia/NSW-ICPMR-21236/2022	Oceania	Australia
Australia/NSW-ICPMR-21229/2022	Oceania	Australia
Australia/NSW-ICPMR-21228/2022	Oceania	Australia
Australia/NSW-ICPMR-21219/2022	Oceania	Australia
Australia/NSW-ICPMR-21400/2022	Oceania	Australia
Australia/NSW-ICPMR-20891/2022	Oceania	Australia
Australia/NSW-ICPMR-20888/2022	Oceania	Australia
Australia/NSW-ICPMR-20132/2022	Oceania	Australia
Australia/NSW-ICPMR-20062/2022	Oceania	Australia
Australia/NSW-ICPMR-19966/2022	Oceania	Australia
Australia/NSW-ICPMR-19965/2022	Oceania	Australia
Australia/NSW-ICPMR-19964/2022	Oceania	Australia
Australia/NSW-ICPMR-19910/2022	Oceania	Australia
Australia/NSW-ICPMR-19841/2022	Oceania	Australia
Australia/ACT3316/2022	Oceania	Australia
Australia/ACT3155/2022	Oceania	Australia
Australia/ACT3104/2022	Oceania	Australia
Australia/ACT3069/2022	Oceania	Australia
Australia/ACT2817/2022	Oceania	Australia
Australia/ACT2658/2022	Oceania	Australia
Singapore/1815/2022	Asia	Singapore
Australia/NSW-ICPMR-21973/2022	Oceania	Australia
Australia/NSW-ICPMR-20212/2022	Oceania	Australia
Australia/NSW-ICPMR-20889/2022	Oceania	Australia
Australia/NSW-ICPMR-20220/2022	Oceania	Australia
Australia/NSW-ICPMR-20401/2022	Oceania	Australia
Australia/NSW-ICPMR-20883/2022	Oceania	Australia
Australia/NSW-ICPMR-20880/2022	Oceania	Australia
Australia/NSW-ICPMR-20878/2022	Oceania	Australia
Australia/NSW-ICPMR-20874/2022	Oceania	Australia
Australia/NSW-ICPMR-20864/2022	Oceania	Australia
Australia/NSW-ICPMR-20789/2022	Oceania	Australia
Australia/NSW-ICPMR-20788/2022	Oceania	Australia
Australia/NSW-ICPMR-20729/2022	Oceania	Australia
Australia/NSW-ICPMR-20706/2022	Oceania	Australia
Australia/NSW-ICPMR-20673/2022	Oceania	Australia
Australia/NSW-ICPMR-20653/2022	Oceania	Australia
Australia/NSW-ICPMR-20534/2022	Oceania	Australia
Australia/NSW-ICPMR-20520/2022	Oceania	Australia
Australia/NSW-ICPMR-20519/2022	Oceania	Australia
Australia/NSW-ICPMR-20490/2022	Oceania	Australia
Australia/NSW-ICPMR-20398/2022	Oceania	Australia
Australia/NSW-ICPMR-21427/2022	Oceania	Australia
Australia/NSW-ICPMR-20225/2022	Oceania	Australia
Australia/NSW-ICPMR-21459/2022	Oceania	Australia
Australia/NSW-ICPMR-21804/2022	Oceania	Australia
Australia/NSW-ICPMR-21800/2022	Oceania	Australia
Australia/NSW-ICPMR-21799/2022	Oceania	Australia
Australia/NSW-ICPMR-21798/2022	Oceania	Australia
Australia/NSW-ICPMR-21796/2022	Oceania	Australia
Australia/NSW-ICPMR-21793/2022	Oceania	Australia
Australia/NSW-ICPMR-21754/2022	Oceania	Australia
Australia/NSW-ICPMR-21753/2022	Oceania	Australia
Australia/NSW-ICPMR-21750/2022	Oceania	Australia
Australia/NSW-ICPMR-21739/2022	Oceania	Australia
Australia/NSW-ICPMR-21738/2022	Oceania	Australia
Australia/NSW-ICPMR-21736/2022	Oceania	Australia
Australia/NSW-ICPMR-21729/2022	Oceania	Australia
Australia/NSW-ICPMR-21726/2022	Oceania	Australia
Australia/NSW-ICPMR-21724/2022	Oceania	Australia
Australia/NSW-ICPMR-21806/2022	Oceania	Australia
Australia/NSW-ICPMR-21722/2022	Oceania	Australia
Australia/NSW-ICPMR-21810/2022	Oceania	Australia
Australia/NSW-ICPMR-21876/2022	Oceania	Australia
Australia/NSW-ICPMR-21970/2022	Oceania	Australia
Australia/NSW-ICPMR-21442/2022	Oceania	Australia
Australia/NSW-ICPMR-21952/2022	Oceania	Australia
Australia/NSW-ICPMR-21950/2022	Oceania	Australia
Australia/NSW-ICPMR-21947/2022	Oceania	Australia
Australia/NSW-ICPMR-21946/2022	Oceania	Australia
Australia/NSW-ICPMR-21945/2022	Oceania	Australia
Australia/NSW-ICPMR-21901/2022	Oceania	Australia
Australia/NSW-ICPMR-21897/2022	Oceania	Australia
Australia/NSW-ICPMR-21896/2022	Oceania	Australia
Australia/NSW-ICPMR-21887/2022	Oceania	Australia
Australia/NSW-ICPMR-21883/2022	Oceania	Australia
Australia/NSW-ICPMR-21880/2022	Oceania	Australia
Australia/NSW-ICPMR-21879/2022	Oceania	Australia
Australia/NSW-ICPMR-21877/2022	Oceania	Australia
Australia/NSW-ICPMR-21815/2022	Oceania	Australia
Australia/NSW-ICPMR-21721/2022	Oceania	Australia
Australia/NSW-ICPMR-21893/2022	Oceania	Australia
Australia/NSW-ICPMR-21705/2022	Oceania	Australia
Australia/NSW-ICPMR-21597/2022	Oceania	Australia
Australia/NSW-ICPMR-21594/2022	Oceania	Australia
Australia/NSW-ICPMR-21590/2022	Oceania	Australia
Australia/NSW-ICPMR-21579/2022	Oceania	Australia
Australia/NSW-ICPMR-21578/2022	Oceania	Australia
Australia/NSW-ICPMR-21575/2022	Oceania	Australia
Australia/NSW-ICPMR-21544/2022	Oceania	Australia
Australia/NSW-ICPMR-21542/2022	Oceania	Australia
Australia/NSW-ICPMR-21515/2022	Oceania	Australia
Australia/NSW-ICPMR-21470/2022	Oceania	Australia
Australia/NSW-ICPMR-21467/2022	Oceania	Australia
Australia/NSW-ICPMR-21462/2022	Oceania	Australia
Australia/NSW-ICPMR-21460/2022	Oceania	Australia
Australia/NSW-ICPMR-21720/2022	Oceania	Australia
Australia/NSW-ICPMR-21461/2022	Oceania	Australia
Australia/NSW-ICPMR-21626/2022	Oceania	Australia
Australia/NSW-ICPMR-21629/2022	Oceania	Australia
Australia/NSW-ICPMR-21528/2022	Oceania	Australia
Australia/NSW-ICPMR-21694/2022	Oceania	Australia
Australia/NSW-ICPMR-21698/2022	Oceania	Australia
Australia/NSW-ICPMR-21697/2022	Oceania	Australia
Australia/NSW-ICPMR-21699/2022	Oceania	Australia
Australia/NSW-ICPMR-21693/2022	Oceania	Australia
Australia/NSW-ICPMR-21683/2022	Oceania	Australia
Australia/NSW-ICPMR-21678/2022	Oceania	Australia
Australia/NSW-ICPMR-21704/2022	Oceania	Australia
Australia/NSW-ICPMR-21679/2022	Oceania	Australia
Australia/NSW-ICPMR-21655/2022	Oceania	Australia
Australia/NSW-ICPMR-21651/2022	Oceania	Australia
Australia/NSW-ICPMR-21650/2022	Oceania	Australia
Australia/NSW-ICPMR-21648/2022	Oceania	Australia
Australia/NSW-ICPMR-21646/2022	Oceania	Australia
Australia/NSW-ICPMR-21635/2022	Oceania	Australia
Australia/NSW-ICPMR-21676/2022	Oceania	Australia
Australia/NSW-ICPMR-21631/2022	Oceania	Australia
Austria/LB-R00063-S148/2022	Europe	Austria
Austria/LB-R00063-S074/2022	Europe	Austria
Austria/LB-R00063-S110/2022	Europe	Austria
Austria/LB-R00063-S138/2022	Europe	Austria
Austria/LB-R00062-S216/2022	Europe	Austria
Austria/LB-R00063-S180/2022	Europe	Austria
Austria/LB-R00062-S187/2022	Europe	Austria
Austria/LB-R00063-S185/2022	Europe	Austria
Austria/LB-R00063-S061/2022	Europe	Austria
Austria/LB-R00063-S193/2022	Europe	Austria
Austria/LB-R00063-S194/2022	Europe	Austria
Austria/LB-R00063-S171/2022	Europe	Austria
Austria/LB-R00063-S058/2022	Europe	Austria
Austria/LB-R00063-S003/2022	Europe	Austria
