strain	region	country																				
Argentina/INEI119500/2022	South America	Argentina																				
Argentina/INEI119491/2022	South America	Argentina																				
Argentina/INEI119468/2022	South America	Argentina																				
Argentina/INEI119793/2022	South America	Argentina																				
Argentina/INEI119794/2022	South America	Argentina																				
Argentina/INEI119806/2022	South America	Argentina																				
Argentina/INEI119808/2022	South America	Argentina																				
Argentina/PAIS-E0755/2022	South America	Argentina																				
Argentina/PAIS-E0742/2022	South America	Argentina																				
Argentina/PAIS-E0734/2022	South America	Argentina																				
Argentina/PAIS-E0702/2022	South America	Argentina																				
Argentina/PAIS-A1254/2021	South America	Argentina																				
Argentina/INEI119872/2022	South America	Argentina																				
Argentina/INEI119867/2022	South America	Argentina																				
Argentina/INEI118820/2022	South America	Argentina																				
Argentina/INEI119858/2022	South America	Argentina																				
Argentina/INEI119841/2022	South America	Argentina																				
Argentina/INEI119839/2022	South America	Argentina																				
Argentina/INEI119838/2022	South America	Argentina																				
Argentina/INEI119835/2022	South America	Argentina																				
Argentina/INEI119833/2022	South America	Argentina																				
Argentina/INEI119830/2022	South America	Argentina																				
Argentina/INEI119811/2022	South America	Argentina																				
Argentina/INEI119848/2022	South America	Argentina																				
Argentina/INEI118819/2022	South America	Argentina																				
Argentina/INEI119578/2022	South America	Argentina																				
Argentina/INEI118795/2022	South America	Argentina																				
Argentina/INEI117741/2022	South America	Argentina																				
Argentina/INEI117730/2022	South America	Argentina																				
Argentina/INEI117728/2022	South America	Argentina																				
Argentina/INEI117725/2022	South America	Argentina																				
Argentina/INEI117724/2022	South America	Argentina																				
Argentina/INEI117723/2022	South America	Argentina																				
Argentina/INEI117722/2022	South America	Argentina																				
Argentina/INEI117716/2022	South America	Argentina																				
Argentina/INEI117713/2022	South America	Argentina																				
Argentina/INEI117709/2022	South America	Argentina																				
Argentina/INEI117707/2022	South America	Argentina																				
Argentina/INEI117635/2022	South America	Argentina																				
Argentina/INEI117632/2022	South America	Argentina																				
Argentina/INEI117625/2022	South America	Argentina																				
Argentina/INEI117574/2022	South America	Argentina																				
Argentina/INEI117748/2022	South America	Argentina																				
Argentina/INEI117567/2022	South America	Argentina																				
Argentina/INEI117753/2022	South America	Argentina																				
Argentina/INEI117824/2022	South America	Argentina																				
Argentina/INEI118193/2022	South America	Argentina																				
Argentina/INEI118185/2022	South America	Argentina																				
Argentina/INEI118159/2022	South America	Argentina																				
Argentina/INEI118136/2022	South America	Argentina																				
Argentina/INEI118135/2022	South America	Argentina																				
Argentina/INEI118125/2022	South America	Argentina																				
Argentina/INEI118115/2022	South America	Argentina																				
Argentina/INEI118112/2022	South America	Argentina																				
Argentina/INEI118081/2022	South America	Argentina																				
Argentina/INEI118062/2022	South America	Argentina																				
Argentina/INEI118038/2022	South America	Argentina																				
Argentina/INEI117983/2022	South America	Argentina																				
Argentina/INEI117969/2022	South America	Argentina																				
Argentina/INEI117940/2022	South America	Argentina																				
Argentina/INEI117905/2022	South America	Argentina																				
Argentina/INEI117774/2022	South America	Argentina																				
Argentina/INEI117566/2022	South America	Argentina																				
Argentina/INEI117561/2022	South America	Argentina																				
Argentina/INEI117545/2022	South America	Argentina																				
Argentina/INEI117100/2021	South America	Argentina																				
Argentina/INEI117011/2021	South America	Argentina																				
Argentina/INEI117009/2021	South America	Argentina																				
Argentina/INEI117005/2021	South America	Argentina																				
Argentina/INEI116996/2022	South America	Argentina																				
Argentina/INEI116911/2022	South America	Argentina																				
Argentina/INEI116900/2022	South America	Argentina																				
Argentina/INEI116607/2021	South America	Argentina																				
Argentina/INEI116469/2021	South America	Argentina																				
Argentina/INEI116456/2021	South America	Argentina																				
Argentina/INEI116440/2021	South America	Argentina																				
Argentina/INEI116433/2021	South America	Argentina																				
Argentina/INEI116421/2021	South America	Argentina																				
Argentina/INEI116307/2022	South America	Argentina																				
Argentina/INEI118808/2022	South America	Argentina																				
Argentina/INEI117130/2021	South America	Argentina																				
Argentina/INEI117136/2022	South America	Argentina																				
Argentina/INEI117161/2022	South America	Argentina																				
Argentina/INEI117179/2022	South America	Argentina																				
Argentina/INEI117544/2022	South America	Argentina																				
Argentina/INEI117537/2022	South America	Argentina																				
Argentina/INEI117533/2022	South America	Argentina																				
Argentina/INEI117530/2022	South America	Argentina																				
Argentina/INEI117526/2022	South America	Argentina																				
Argentina/INEI117523/2022	South America	Argentina																				
Argentina/INEI117477/2022	South America	Argentina																				
Argentina/INEI118196/2022	South America	Argentina																				
