strain	region	country																				
France/IDF-HMN-22012170775/2022	Europe	France																				
France/IDF-HMN-22012170796/2022	Europe	France																				
France/IDF-HMN-22012170926/2022	Europe	France																				
France/IDF-HMN-22012171247/2022	Europe	France																				
France/IDF-HMN-22012171282/2022	Europe	France																				
France/IDF-HMN-22012180329/2022	Europe	France																				
France/IDF-HMN-22012111169/2022	Europe	France																				
France/IDF-HMN-22012040573/2022	Europe	France																				
France/IDF-HMN-22012110719/2022	Europe	France																				
France/IDF-HMN-22012110023/2022	Europe	France																				
France/IDF-HMN-22012040914/2022	Europe	France																				
France/IDF-HMN-22012040926/2022	Europe	France																				
France/IDF-HMN-22012041080/2022	Europe	France																				
France/IDF-HMN-22012041166/2022	Europe	France																				
France/IDF-HMN-22012050161/2022	Europe	France																				
France/IDF-HMN-22012050741/2022	Europe	France																				
France/IDF-HMN-22012050813/2022	Europe	France																				
France/IDF-HMN-22012051127/2022	Europe	France																				
France/IDF-HMN-22012051273/2022	Europe	France																				
France/IDF-HMN-22012070412/2022	Europe	France																				
France/IDF-HMN-22012080263/2022	Europe	France																				
France/IDF-HMN-22012090020/2022	Europe	France																				
France/IDF-HMN-22012100367/2022	Europe	France																				
France/IDF-HMN-22012100375/2022	Europe	France																				
France/IDF-HMN-22012101086/2022	Europe	France																				
France/IDF-HMN-22012101293/2022	Europe	France																				
France/IDF-HMN-22012110011/2022	Europe	France																				
France/IDF-HMN-22012110407/2022	Europe	France																				
France/IDF-CERBAHC-01492317/2022	Europe	France																				
France/IDF-CERBAHC-12974313/2021	Europe	France																				
France/IDF-CERBAHC-12963338/2021	Europe	France																				
France/IDF-CERBAHC-01831486/2022	Europe	France																				
France/IDF-CERBAHC-01831844/2022	Europe	France																				
France/IDF-CERBAHC-01831864/2022	Europe	France																				
France/IDF-CERBAHC-01832014/2022	Europe	France																				
France/IDF-CERBAHC-01834069/2022	Europe	France																				
France/IDF-CERBAHC-01834294/2022	Europe	France																				
France/IDF-CERBAHC-01897134/2022	Europe	France																				
France/IDF-CERBAHC-01950457/2022	Europe	France																				
France/IDF-CERBAHC-01950497/2022	Europe	France																				
France/IDF-CERBAHC-01951548/2022	Europe	France																				
France/IDF-CERBAHC-01953972/2022	Europe	France																				
France/IDF-CERBAHC-01972471/2022	Europe	France																				
France/IDF-CERBAHC-01972564/2022	Europe	France																				
France/IDF-CERBAHC-01973109/2022	Europe	France																				
France/IDF-CERBAHC-01973139/2022	Europe	France																				
France/IDF-CERBAHC-02100547/2022	Europe	France																				
France/IDF-CERBAHC-02107840/2022	Europe	France																				
France/IDF-CERBAHC-01830336/2022	Europe	France																				
France/IDF-CERBAHC-02331261/2022	Europe	France																				
France/IDF-CERBAHC-01793737/2022	Europe	France																				
France/IDF-CERBAHC-01786445/2022	Europe	France																				
France/IDF-CERBAHC-01516205/2022	Europe	France																				
France/IDF-CERBAHC-01516434/2022	Europe	France																				
France/IDF-CERBAHC-01518676/2022	Europe	France																				
France/IDF-CERBAHC-01618884/2022	Europe	France																				
France/IDF-CERBAHC-01673770/2022	Europe	France																				
France/IDF-CERBAHC-01673911/2022	Europe	France																				
France/IDF-CERBAHC-01673940/2022	Europe	France																				
France/IDF-CERBAHC-01673993/2022	Europe	France																				
France/IDF-CERBAHC-01674140/2022	Europe	France																				
France/IDF-CERBAHC-01674154/2022	Europe	France																				
France/IDF-CERBAHC-01674479/2022	Europe	France																				
France/IDF-CERBAHC-01677402/2022	Europe	France																				
France/IDF-CERBAHC-01677614/2022	Europe	France																				
France/IDF-CERBAHC-01677620/2022	Europe	France																				
France/IDF-CERBAHC-01687048/2022	Europe	France																				
France/IDF-CERBAHC-01712946/2022	Europe	France																				
France/IDF-CERBAHC-01759556/2022	Europe	France																				
France/IDF-CERBAHC-01786467/2022	Europe	France																				
France/IDF-CERBAHC-12965942/2021	Europe	France																				
France/IDF-CERBAHC-02332164/2022	Europe	France																				
France/IDF-CERBAHC-02336509/2022	Europe	France																				
France/IDF-CERBAHC-12229533/2021	Europe	France																				
France/IDF-CERBAHC-12249853/2021	Europe	France																				
France/IDF-CERBAHC-12254138/2021	Europe	France																				
France/IDF-CERBAHC-12254218/2021	Europe	France																				
France/IDF-CERBAHC-12266279/2021	Europe	France																				
France/IDF-CERBAHC-12266850/2021	Europe	France																				
France/IDF-CERBAHC-12269783/2021	Europe	France																				
France/IDF-CERBAHC-12270217/2021	Europe	France																				
France/IDF-CERBAHC-12270359/2021	Europe	France																				
France/IDF-CERBAHC-12270511/2021	Europe	France																				
France/IDF-CERBAHC-12287547/2021	Europe	France																				
France/IDF-CERBAHC-1234718/2021	Europe	France																				
France/IDF-CERBAHC-1236454/2021	Europe	France																				
France/IDF-CERBAHC-1263283/2021	Europe	France																				
France/IDF-CERBAHC-1278474/2021	Europe	France																				
France/IDF-CERBAHC-12806947/2021	Europe	France																				
France/IDF-CERBAHC-129535/2021	Europe	France																				
France/IDF-CERBAHC-12220398/2021	Europe	France																				
France/IDF-CERBAHC-02332923/2022	Europe	France																				
France/IDF-CERBAHC-12188902/2021	Europe	France																				
France/IDF-CERBAHC-12172373/2021	Europe	France																				
France/IDF-CERBAHC-02437012/2022	Europe	France																				
France/IDF-CERBAHC-02437227/2022	Europe	France																				
France/IDF-CERBAHC-02437442/2022	Europe	France																				
France/IDF-CERBAHC-0253593/2022	Europe	France																				
France/IDF-CERBAHC-0253605/2022	Europe	France																				
France/IDF-CERBAHC-02979496/2022	Europe	France																				
France/IDF-CERBAHC-1211360/2021	Europe	France																				
France/IDF-CERBAHC-12131133/2021	Europe	France																				
France/IDF-CERBAHC-12135723/2021	Europe	France																				
France/IDF-CERBAHC-12136489/2021	Europe	France																				
France/IDF-CERBAHC-12136520/2021	Europe	France																				
France/IDF-CERBAHC-12137548/2021	Europe	France																				
France/IDF-CERBAHC-12138503/2021	Europe	France																				
France/IDF-CERBAHC-12138953/2021	Europe	France																				
France/IDF-CERBAHC-1214599/2021	Europe	France																				
France/IDF-CERBAHC-1214975/2021	Europe	France																				
France/IDF-CERBAHC-12168152/2021	Europe	France																				
France/IDF-CERBAHC-12188651/2021	Europe	France																				
France/ARA-HCL022005413701/2021	Europe	France																				
France/ARA-CFD210073836101/2021	Europe	France																				
France/ARA-HCL022005308801/2022	Europe	France																				
France/PDL-IPP08145/2022	Europe	France																				
France/PDL-IPP08135/2022	Europe	France																				
France/PDL-IPP08033/2022	Europe	France																				
France/PDL-IPP07997/2022	Europe	France																				
France/PDL-IPP06900/2022	Europe	France																				
France/PDL-IPP06894/2022	Europe	France																				
France/PDL-IPP06871/2022	Europe	France																				
France/PDL-IPP06867/2022	Europe	France																				
France/PDL-IPP06159/2022	Europe	France																				
France/PDL-IPP06151/2022	Europe	France																				
France/PDL-IPP08193/2022	Europe	France																				
France/PDL-IPP06144/2022	Europe	France																				
France/PDL-IPP05050/2022	Europe	France																				
France/PDL-IPP04585/2022	Europe	France																				
France/PDL-IPP04056/2022	Europe	France																				
France/PDL-IPP03949/2022	Europe	France																				
France/PDL-IPP02644/2022	Europe	France																				
France/PDL-IPP02642/2022	Europe	France																				
France/PDL-IPP02570/2022	Europe	France																				
France/PDL-IPP02552/2022	Europe	France																				
France/PDL-IPP02229/2022	Europe	France																				
France/PDL-IPP02223/2022	Europe	France																				
France/PDL-IPP05980/2022	Europe	France																				
France/PDL-IPP08879/2022	Europe	France																				
France/PDL-IPP08902/2022	Europe	France																				
France/PDL-IPP09317/2022	Europe	France																				
Japan/IC-3387/2022	Asia	Japan																				
Japan/IC-2489/2021	Asia	Japan																				
France/ARA-HCL022005376101/2022	Europe	France																				
FrenchGuiana/IPG202200176/2022	Europe	France																				
FrenchGuiana/IPG202200159/2022	Europe	France																				
FrenchGuiana/IPG202200108/2022	Europe	France																				
FrenchGuiana/IPG202101644/2021	Europe	France																				
FrenchGuiana/IPG202101638/2021	Europe	France																				
FrenchGuiana/IPG-202200039/2022	Europe	France																				
France/PDL-IPP54180/2021	Europe	France																				
France/PDL-IPP53102/2021	Europe	France																				
France/PDL-IPP53059/2021	Europe	France																				
France/PDL-IPP52232/2021	Europe	France																				
France/PDL-IPP52196/2021	Europe	France																				
France/PDL-IPP50358/2021	Europe	France																				
France/PDL-IPP15269/2022	Europe	France																				
France/PDL-IPP11790/2022	Europe	France																				
France/PDL-IPP11352/2022	Europe	France																				
France/PDL-IPP11224/2022	Europe	France																				
France/PDL-IPP10523/2022	Europe	France																				
France/PDL-IPP10510/2022	Europe	France																				
France/PDL-IPP09869/2022	Europe	France																				
France/PDL-IPP09858/2022	Europe	France																				
France/PDL-IPP01900/2022	Europe	France																				
France/PDL-IPP01899/2022	Europe	France																				
France/PDL-IPP01895/2022	Europe	France																				
France/PDL-IPP01894/2022	Europe	France																				
France/PAC-CERBAHC-01727294/2022	Europe	France																				
France/PAC-CERBAHC-01460065/2022	Europe	France																				
France/PAC-CERBAHC-01452583/2022	Europe	France																				
France/PAC-CERBAHC-01435317/2022	Europe	France																				
France/PAC-CERBAHC-01433318/2022	Europe	France																				
France/PAC-CERBAHC-0125063/2022	Europe	France																				
France/OCC-IPP07401/2022	Europe	France																				
France/OCC-IPP07399/2022	Europe	France																				
France/OCC-IPP05245/2022	Europe	France																				
France/OCC-IPP05240/2022	Europe	France																				
France/OCC-IPP01330/2022	Europe	France																				
France/OCC-HCL722000790801/2022	Europe	France																				
France/OCC-HCL722000790601/2022	Europe	France																				
France/OCC-HCL722000753301/2022	Europe	France																				
France/OCC-HCL722000643901/2022	Europe	France																				
France/OCC-HCL722000643001/2022	Europe	France																				
France/OCC-HCL722000607701/2022	Europe	France																				
France/OCC-HCL722000585701/2022	Europe	France																				
France/OCC-HCL722000579301/2022	Europe	France																				
France/OCC-HCL722000260401/2022	Europe	France																				
France/OCC-HCL722000247001/2022	Europe	France																				
France/OCC-HCL722000103901/2022	Europe	France																				
France/OCC-HCL722000103301/2022	Europe	France																				
France/PAC-CERBAHC-01745005/2022	Europe	France																				
Japan/IC-3972/2022	Asia	Japan																				
France/PAC-CERBAHC-01749547/2022	Europe	France																				
France/PAC-CERBAHC-01749653/2022	Europe	France																				
France/PDL-IPP00108/2022	Europe	France																				
France/PDL-IPP00051/2022	Europe	France																				
France/PAC-IPP52042/2021	Europe	France																				
France/PAC-IHU-50364/2021	Europe	France																				
France/PAC-IHU-49242/2021	Europe	France																				
France/PAC-HCL022035559601/2022	Europe	France																				
France/PAC-HCL022023690201/2022	Europe	France																				
France/PAC-HCL022021291001/2022	Europe	France																				
France/PAC-HCL022014177901/2022	Europe	France																				
France/PAC-CERBAHC-12262088/2021	Europe	France																				
France/PAC-CERBAHC-02243222/2022	Europe	France																				
France/PAC-CERBAHC-02241695/2022	Europe	France																				
France/PAC-CERBAHC-02148420/2022	Europe	France																				
France/PAC-CERBAHC-02100581/2022	Europe	France																				
France/PAC-CERBAHC-01969572/2022	Europe	France																				
France/PAC-CERBAHC-01967757/2022	Europe	France																				
France/PAC-CERBAHC-01967020/2022	Europe	France																				
France/PAC-CERBAHC-01885536/2022	Europe	France																				
France/PAC-CERBAHC-01885284/2022	Europe	France																				
France/PAC-CERBAHC-01885192/2022	Europe	France																				
France/PAC-CERBAHC-01885177/2022	Europe	France																				
France/PAC-CERBAHC-01839688/2022	Europe	France																				
France/PAC-CERBAHC-01749823/2022	Europe	France																				
France/PAC-CERBAHC-01749585/2022	Europe	France																				
Japan/IC-4129/2022	Asia	Japan																				
Japan/IC-4141/2022	Asia	Japan																				
Japan/IC-4441/2022	Asia	Japan																				
Reunion/CHU79800011103502/2022	Europe	France																				
Reunion/CHU79800011069201/2022	Europe	France																				
Reunion/CHU79800011060502/2022	Europe	France																				
Reunion/CHU79800011047502/2022	Europe	France																				
Reunion/CHU79800011000803/2022	Europe	France																				
Reunion/CHU79800010927702/2022	Europe	France																				
Reunion/CHU79800010735602/2022	Europe	France																				
Reunion/CHU79800010725201/2022	Europe	France																				
Reunion/CHU79800010715202/2022	Europe	France																				
Reunion/CHU79800010710802/2022	Europe	France																				
Reunion/CHU79800010521302/2022	Europe	France																				
Reunion/CHU79800010508202/2022	Europe	France																				
Reunion/CHU722022446901/2022	Europe	France																				
Reunion/CHU722021849701/2022	Europe	France																				
Reunion/CHU722021622604/2022	Europe	France																				
Reunion/CHU722020695801/2022	Europe	France																				
Reunion/CHU722020693701/2022	Europe	France																				
Reunion/CHU722020407304/2022	Europe	France																				
Reunion/CHU722020403906/2022	Europe	France																				
Reunion/CHU722020325503/2022	Europe	France																				
Reunion/CHU722013378702/2022	Europe	France																				
Reunion/CHU722013348703/2022	Europe	France																				
Reunion/CHU722012977703/2022	Europe	France																				
Reunion/CHU79800011199203/2022	Europe	France																				
Reunion/CHU722012935403/2022	Europe	France																				
Reunion/CHU79800011201603/2022	Europe	France																				
Reunion/CHU79800011241301/2022	Europe	France																				
Singapore/425/2022	Asia	Singapore																				
Reunion/PIMIT_27233/2022	Europe	France																				
Reunion/PIMIT_27189/2022	Europe	France																				
Reunion/PIMIT_27144/2022	Europe	France																				
Reunion/PIMIT_27104/2022	Europe	France																				
Reunion/PIMIT_27073/2022	Europe	France																				
Reunion/PIMIT_27065/2022	Europe	France																				
Reunion/PIMIT_27055/2022	Europe	France																				
Reunion/PIMIT_26797/2022	Europe	France																				
Reunion/PIMIT_26783/2022	Europe	France																				
Reunion/PIMIT_26698/2021	Europe	France																				
Reunion/PIMIT_26690/2021	Europe	France																				
Reunion/PIMIT_26572/2021	Europe	France																				
Reunion/PIMIT_26492/2021	Europe	France																				
Reunion/PIMIT_25073/2021	Europe	France																				
Reunion/CHU79800012141002/2022	Europe	France																				
Reunion/CHU79800012032401/2022	Europe	France																				
Reunion/CHU79800012008902/2022	Europe	France																				
Reunion/CHU79800012004801/2022	Europe	France																				
Reunion/CHU79800012004701/2022	Europe	France																				
Reunion/CHU79800012000801/2022	Europe	France																				
Reunion/CHU79800011674202/2022	Europe	France																				
Reunion/CHU79800011287003/2022	Europe	France																				
Reunion/CHU79800011238301/2022	Europe	France																				
France/OCC-HCL722000087001/2022	Europe	France																				
Reunion/CHU722012860103/2022	Europe	France																				
Reunion/CHU722012717601/2022	Europe	France																				
Reunion/CHU522021067903/2022	Europe	France																				
Reunion/CHU522020950402/2022	Europe	France																				
Reunion/CHU522020852003/2022	Europe	France																				
Reunion/CHU522020071503/2022	Europe	France																				
Reunion/CHU522012923703/2022	Europe	France																				
Reunion/CHU522012916003/2022	Europe	France																				
Reunion/CHU522012878303/2022	Europe	France																				
Reunion/CHU522010629504/2022	Europe	France																				
Reunion/CHU522010159902/2022	Europe	France																				
Reunion/CHU521122702403/2021	Europe	France																				
NewCaledonia/0270588/2022	Europe	France																				
Mayotte/HCL022017550901/2022	Europe	France																				
Mayotte/HCL022017539801/2022	Europe	France																				
Mayotte/HCL022017530601/2022	Europe	France																				
Mayotte/HCL022011465801/2022	Europe	France																				
Mayotte/HCL022011449701/2022	Europe	France																				
Mayotte/HCL022011390901/2022	Europe	France																				
Mayotte/CERBAHC-01751460/2022	Europe	France																				
Martinique/IPP08746/2022	Europe	France																				
Martinique/IPP08745/2022	Europe	France																				
Martinique/IPP04914/2022	Europe	France																				
Martinique/IPP04910/2022	Europe	France																				
Martinique/IPP03314/2022	Europe	France																				
Reunion/CHU522021720603/2022	Europe	France																				
Reunion/CHU722012807503/2022	Europe	France																				
Reunion/CHU721123186601/2021	Europe	France																				
Reunion/CHU722010568901/2022	Europe	France																				
Reunion/CHU722012717101/2022	Europe	France																				
Reunion/CHU722012616502/2022	Europe	France																				
Reunion/CHU722012092101/2022	Europe	France																				
Reunion/CHU722012091101/2022	Europe	France																				
Reunion/CHU722012089701/2022	Europe	France																				
Reunion/CHU722012085201/2022	Europe	France																				
Reunion/CHU722012076001/2022	Europe	France																				
Reunion/CHU722011974801/2022	Europe	France																				
Reunion/CHU722011973701/2022	Europe	France																				
Reunion/CHU722011971001/2022	Europe	France																				
Reunion/CHU722011796403/2022	Europe	France																				
Reunion/CHU722011791502/2022	Europe	France																				
Reunion/CHU722011541801/2022	Europe	France																				
Reunion/CHU722011540401/2022	Europe	France																				
Reunion/CHU722011499801/2022	Europe	France																				
Reunion/CHU722011385601/2022	Europe	France																				
Reunion/CHU722011230701/2022	Europe	France																				
Reunion/CHU722011130701/2022	Europe	France																				
Reunion/CHU722011123401/2022	Europe	France																				
Reunion/CHU722011111801/2022	Europe	France																				
Reunion/CHU722010740101/2022	Europe	France																				
Reunion/CHU722010739501/2022	Europe	France																				
Reunion/CHU722010735301/2022	Europe	France																				
Reunion/CHU721123194301/2021	Europe	France																				
France/OCC-HCL4743201/2022	Europe	France																				
France/NOR-HMN-22012310948/2022	Europe	France																				
France/OCC-HCL022022863601/2022	Europe	France																				
France/ARA-CHUGA-2029205093/2022	Europe	France																				
France/ARA-CHUGA-2025966508/2022	Europe	France																				
France/ARA-CHUGA-2025966392/2022	Europe	France																				
France/ARA-CHUGA-2025965601/2022	Europe	France																				
France/ARA-CHUGA-2020219976/2022	Europe	France																				
France/ARA-CHUGA-2020213335/2022	Europe	France																				
France/ARA-CHUGA-2020205966/2022	Europe	France																				
France/ARA-CHUGA-2020193821/2022	Europe	France																				
France/ARA-CHUGA-2020187546/2022	Europe	France																				
France/ARA-CHUGA-2020180249/2022	Europe	France																				
France/ARA-CHUGA-2020150217/2022	Europe	France																				
France/ARA-CHUGA-2029205135/2022	Europe	France																				
France/ARA-CHUGA-2020147818/2022	Europe	France																				
France/ARA-CHUGA-2019204514/2022	Europe	France																				
France/ARA-CHUGA-2019203840/2022	Europe	France																				
France/ARA-CHUGA-2019203370/2022	Europe	France																				
France/ARA-CHUGA-2019201167/2022	Europe	France																				
France/ARA-CHUGA-2015963943/2022	Europe	France																				
France/ARA-CHUGA-2015962731/2022	Europe	France																				
France/ARA-CHUGA-2015960440/2022	Europe	France																				
France/ARA-CHUGA-2015959787/2022	Europe	France																				
France/ARA-CHUGA-2015958296/2022	Europe	France																				
France/ARA-CHUGA-2015957794/2022	Europe	France																				
France/ARA-CHUGA-2015953110/2022	Europe	France																				
France/ARA-CHUGA-2019987367/2022	Europe	France																				
France/ARA-CHUGA-2015951293/2022	Europe	France																				
France/ARA-CHUGA-2029205545/2022	Europe	France																				
France/ARA-CHUGA-2029987857/2022	Europe	France																				
France/ARA-HCL022002317301/2022	Europe	France																				
France/ARA-HCL022002021701/2022	Europe	France																				
France/ARA-HCL022001179501/2022	Europe	France																				
France/ARA-HCL022001049401/2022	Europe	France																				
France/ARA-HCL022001010501/2022	Europe	France																				
France/ARA-HCL022000764901/2021	Europe	France																				
France/ARA-HCL022000524601/2022	Europe	France																				
France/ARA-HCL022000342601/2022	Europe	France																				
France/ARA-HCL022000227201/2022	Europe	France																				
France/ARA-HCL021233113901/2021	Europe	France																				
France/ARA-HCL021233041901/2021	Europe	France																				
France/ARA-CHUGA-2029205697/2022	Europe	France																				
France/ARA-HCL021233009101/2021	Europe	France																				
France/ARA-HCL021231866401/2021	Europe	France																				
France/ARA-HCL021231557401/2021	Europe	France																				
France/ARA-HCL021231505201/2021	Europe	France																				
France/ARA-HCL021230969701/2021	Europe	France																				
France/ARA-HCL021230347401/2021	Europe	France																				
France/ARA-HCL021229738401/2021	Europe	France																				
France/ARA-HCL021228851301/2021	Europe	France																				
France/ARA-HCL021228794901/2021	Europe	France																				
France/ARA-HCL021227584401/2021	Europe	France																				
France/ARA-HCL021227460901/2021	Europe	France																				
France/ARA-HCL021227224101/2021	Europe	France																				
France/ARA-HCL021232360401/2021	Europe	France																				
France/ARA-CHUGA-2014977707/2022	Europe	France																				
France/ARA-CHUGA-2010127343/2022	Europe	France																				
France/ARA-CHUGA-2010109479/2022	Europe	France																				
France/ARA-CFD220009152901/2022	Europe	France																				
France/ARA-CFD220009152701/2022	Europe	France																				
France/ARA-CFD220008556701/2022	Europe	France																				
France/ARA-CFD220008550602/2022	Europe	France																				
France/ARA-CFD220007055101/2022	Europe	France																				
France/ARA-CFD220006850502/2022	Europe	France																				
France/ARA-CFD220005255801/2022	Europe	France																				
France/ARA-CFD220005074902/2022	Europe	France																				
France/ARA-CFD220004046801/2022	Europe	France																				
France/ARA-CFD220002561901/2022	Europe	France																				
France/ARA-CFD220000329101/2022	Europe	France																				
France/ARA-CFD220009497801/2022	Europe	France																				
France/NOR-HMN-22012310946/2022	Europe	France																				
France/ARA-CERBAHC-12177575/2021	Europe	France																				
France/ARA-CERBAHC-12177240/2021	Europe	France																				
France/ARA-CERBAHC-02154967/2022	Europe	France																				
France/ARA-CERBAHC-01994208/2022	Europe	France																				
France/ARA-CERBAHC-01993755/2022	Europe	France																				
France/ARA-CERBAHC-01991220/2022	Europe	France																				
France/ARA-CERBAHC-01890271/2022	Europe	France																				
France/NOR-HMN-22012310949/2022	Europe	France																				
France/NOR-HMN-22022020558/2022	Europe	France																				
France/OCC-HCL4696401/2022	Europe	France																				
France/NOR-HMN-22022020779/2022	Europe	France																				
France/ARA-CFD1875201/2022	Europe	France																				
France/ARA-CFD220012092401/2022	Europe	France																				
France/ARA-CFD220012546201/2022	Europe	France																				
France/ARA-CFD700000136933/2021	Europe	France																				
France/ARA-CHUGA-2010099835/2022	Europe	France																				
France/ARA-CHUGA-2010098692/2022	Europe	France																				
France/ARA-CHUGA-2010093180/2022	Europe	France																				
France/ARA-CHUGA-2010092435/2022	Europe	France																				
France/ARA-CHUGA-2010089914/2022	Europe	France																				
France/ARA-CHUGA-2010088693/2022	Europe	France																				
France/ARA-CHUGA-2010065483/2022	Europe	France																				
France/ARA-CHUGA-2010064039/2022	Europe	France																				
France/ARA-CHUGA-2010063808/2022	Europe	France																				
France/ARA-CHUGA-2010059274/2022	Europe	France																				
France/ARA-CHUGA-2010057886/2022	Europe	France																				
France/ARA-CHUGA-2010052990/2022	Europe	France																				
France/ARA-CHUGA-2010032785/2022	Europe	France																				
France/ARA-CHUGA-2010029381/2022	Europe	France																				
France/ARA-CHUGA-2010024473/2022	Europe	France																				
France/ARA-CHUGA-2010023134/2022	Europe	France																				
France/ARA-CHUGA-2010018056/2022	Europe	France																				
France/ARA-CHUGA-2010017345/2022	Europe	France																				
France/ARA-CHUGA-2010006776/2022	Europe	France																				
France/ARA-CHUGA-2010001957/2022	Europe	France																				
France/ARA-CHUGA-1128302671/2021	Europe	France																				
France/ARA-CHUGA-1124947726/2021	Europe	France																				
France/ARA-CHUGA-1124942459/2021	Europe	France																				
France/ARA-CFD700000295823/2022	Europe	France																				
France/ARA-CFD700000294656/2022	Europe	France																				
France/ARA-HCL022004245201/2021	Europe	France																				
France/ARA-HCL022005084201/2022	Europe	France																				
France/ARA-CHUGA-1124948311/2021	Europe	France																				
France/OCC-CHU-TLS-220321401701/2022	Europe	France																				
France/OCC-CHU-TLS-220031159401/2022	Europe	France																				
France/OCC-CHU-TLS-220021234301/2022	Europe	France																				
France/OCC-CHU-TLS-213651438601/2021	Europe	France																				
France/OCC-CHU-TLS-213641485501/2021	Europe	France																				
France/OCC-CHU-TLS-213641470901/2021	Europe	France																				
France/OCC-CHU-TLS-213641434701/2021	Europe	France																				
France/OCC-CHU-TLS-213641410701/2021	Europe	France																				
France/OCC-CHU-TLS-213631363001/2021	Europe	France																				
France/OCC-CHU-TLS-213631257101/2021	Europe	France																				
France/OCC-CHU-TLS-213621414101/2021	Europe	France																				
France/OCC-CHU-TLS-213611346301/2021	Europe	France																				
France/OCC-CHU-TLS-213611291901/2021	Europe	France																				
France/OCC-CHU-TLS-213611281401/2021	Europe	France																				
France/OCC-CHU-TLS-213611196701/2021	Europe	France																				
France/OCC-CHU-TLS-213601170301/2021	Europe	France																				
France/OCC-CHU-TLS-213571453801/2021	Europe	France																				
France/OCC-CHU-TLS-213531152401/2021	Europe	France																				
France/OCC-CHU-TLS-213521227701/2021	Europe	France																				
France/OCC-CERBAHC-12266912/2021	Europe	France																				
France/OCC-CERBAHC-02151039/2022	Europe	France																				
France/OCC-CERBAHC-02131288/2022	Europe	France																				
France/OCC-CHU-TLS-220041623001/2022	Europe	France																				
France/OCC-CHU-TLS-220061572901/2022	Europe	France																				
France/OCC-CHU-TLS-220081203101/2022	Europe	France																				
France/OCC-CHU-TLS-220091134901/2022	Europe	France																				
France/OCC-CHU-TLS-220301226101/2022	Europe	France																				
France/OCC-CHU-TLS-220291163901/2022	Europe	France																				
France/OCC-CHU-TLS-220281480701/2022	Europe	France																				
France/OCC-CHU-TLS-220281232101/2022	Europe	France																				
France/OCC-CHU-TLS-220271288801/2022	Europe	France																				
France/OCC-CHU-TLS-220261580901/2022	Europe	France																				
France/OCC-CHU-TLS-220261520202/2022	Europe	France																				
France/OCC-CHU-TLS-220261355801/2022	Europe	France																				
France/OCC-CHU-TLS-220311540901/2022	Europe	France																				
France/OCC-CHU-TLS-220241570301/2022	Europe	France																				
France/OCC-CERBAHC-01992981/2022	Europe	France																				
France/OCC-CHU-TLS-220241400901/2022	Europe	France																				
France/OCC-CHU-TLS-220231373001/2022	Europe	France																				
France/OCC-CHU-TLS-220231193701/2022	Europe	France																				
France/OCC-CHU-TLS-220221126501/2022	Europe	France																				
France/OCC-CHU-TLS-220211369901/2022	Europe	France																				
France/OCC-CHU-TLS-220191427501/2022	Europe	France																				
France/OCC-CHU-TLS-220191224801/2022	Europe	France																				
France/OCC-CHU-TLS-220161222201/2022	Europe	France																				
France/OCC-CHU-TLS-220161183201/2022	Europe	France																				
France/OCC-CHU-TLS-220151234301/2022	Europe	France																				
France/OCC-CHU-TLS-220091261501/2022	Europe	France																				
France/OCC-CHU-TLS-220241223601/2022	Europe	France																				
France/OCC-CHU-TLS-220301226601/2022	Europe	France																				
France/OCC-CERBAHC-01992914/2022	Europe	France																				
France/OCC-2202142421/2022	Europe	France																				
France/NOR-HMN-22022020788/2022	Europe	France																				
France/OCC-CHU-TLS-220321350301/2022	Europe	France																				
France/OCC-CHU-TLS-220331394201/2022	Europe	France																				
France/OCC-CHU-TLS-220361184501/2022	Europe	France																				
France/OCC-CHU-TLS-220361192801/2022	Europe	France																				
France/OCC-CHU-TLS-220371215401/2022	Europe	France																				
France/OCC-CHU-TLS-600262843703/2021	Europe	France																				
France/OCC-CHU-TLS-600267824206/2022	Europe	France																				
France/OCC-CHU-TLS-600269849202/2022	Europe	France																				
France/OCC-HCL021232123601/2021	Europe	France																				
France/OCC-HCL021232457901/2021	Europe	France																				
France/OCC-HCL021233534701/2021	Europe	France																				
France/OCC-HCL022001991601/2022	Europe	France																				
France/OCC-HCL022002599601/2021	Europe	France																				
France/OCC-HCL022002631601/2021	Europe	France																				
France/OCC-HCL022004691401/2022	Europe	France																				
France/OCC-HCL022011060201/2022	Europe	France																				
France/OCC-HCL022011070201/2022	Europe	France																				
France/OCC-HCL022013044101/2022	Europe	France																				
France/OCC-HCL022017628601/2022	Europe	France																				
France/OCC-HCL022013175101/2022	Europe	France																				
France/NOR-HMN-22022020856/2022	Europe	France																				
France/OCC-CERBAHC-01992368/2022	Europe	France																				
France/NOR-HMN-22022020881/2022	Europe	France																				
France/NOR-HMN-22022160312/2022	Europe	France																				
France/OCC-2202141665/2022	Europe	France																				
France/NOR77005765/2022	Europe	France																				
France/NOR77000718/2022	Europe	France																				
France/NOR77000597/2022	Europe	France																				
France/NOR76516568/2022	Europe	France																				
France/NOR76478198/2022	Europe	France																				
France/NOR76097155/2022	Europe	France																				
France/NOR76094428/2021	Europe	France																				
France/NOR76092986/2021	Europe	France																				
France/NOR-HMN-22022100699/2021	Europe	France																				
France/NOR20426335/2022	Europe	France																				
France/NOR20375003/2022	Europe	France																				
France/NOR20245059/2022	Europe	France																				
France/NOR20215779/2022	Europe	France																				
France/NOR20175373/2022	Europe	France																				
France/NOR20115652/2022	Europe	France																				
France/NOR20115343/2022	Europe	France																				
