strain	region	country
Angola/CERI-KRISP-K011677/2021	Africa	Angola
Angola/KRISP-K010859/2020	Africa	Angola
Angola/CERI-KRISP-K013456/2020	Africa	Angola
Angola/CERI-KRISP-K015467/2021	Africa	Angola
Angola/KRISP-K019393/2021	Africa	Angola
Angola/CERI-KRISP-K013415/2021	Africa	Angola
Angola/CERI-KRISP-K014907/2021	Africa	Angola
Angola/KRISP-K010867/2021	Africa	Angola
Angola/CERI-KRISP-K013761/2020	Africa	Angola
Angola/CERI-KRISP-K014970/2021	Africa	Angola
Angola/CERI-KRISP-K014963/2021	Africa	Angola
Angola/CERI-KRISP-K014960/2021	Africa	Angola
Angola/CERI-KRISP-K014911/2021	Africa	Angola
Angola/CERI-KRISP-K018936/2021	Africa	Angola
Angola/CERI-KRISP-K014908/2021	Africa	Angola
Angola/CERI-KRISPK013100/2021	Africa	Angola
Angola/KRISP-K010857/2021	Africa	Angola
Angola/CERI-KRISP-K013453/2020	Africa	Angola
Angola/CERI-KRISP-K013445/2020	Africa	Angola
Angola/CERI-KRISP-K013416/2021	Africa	Angola
Angola/CERI-KRISP-K013467/2020	Africa	Angola
Angola/CERI-KRISP-K014895/2021	Africa	Angola
Angola/CERI-KRISPK013394/2021	Africa	Angola
Angola/CERI-KRISP-K012731/2021	Africa	Angola
Angola/KRISP-K011772/2021	Africa	Angola
Angola/CERI-KRISP-K013437/2021	Africa	Angola
Angola/CERI-KRISPK013355/2021	Africa	Angola
Angola/CERI-KRISP-K011675/2021	Africa	Angola
Angola/CERI-KRISP-K013434/2021	Africa	Angola
Angola/CERI-KRISP-K013769/2020	Africa	Angola
Angola/CERI-KRISP-K013412/2021	Africa	Angola
Angola/CERI-KRISP-K013689/2020	Africa	Angola
Angola/CERI-KRISP-K013452/2020	Africa	Angola
Angola/CERI-KRISP-K015477/2021	Africa	Angola
Angola/CERI-KRISP-K012690/2021	Africa	Angola
Angola/KRISP-K010851/2021	Africa	Angola
Angola/CERI-KRISP-K013526/2020	Africa	Angola
Angola/CERI-KRISPK013102/2021	Africa	Angola
Angola/CERI-KRISPK013104/2021	Africa	Angola
Angola/CERI-KRISP-K013556/2020	Africa	Angola
Angola/KRISP-K010868/2021	Africa	Angola
Angola/CERI-KRISPK013106/2021	Africa	Angola
Angola/CERI-KRISPK013393/2021	Africa	Angola
Angola/CERI-KRISPK013354/2021	Africa	Angola
Angola/CERI-KRISPK013108/2021	Africa	Angola
Angola/CERI-KRISP-K013725/2021	Africa	Angola
Angola/CERI-KRISP-K013688/2020	Africa	Angola
Angola/CERI-KRISP-K012735/2021	Africa	Angola
Angola/CERI-KRISP-K012718/2021	Africa	Angola
Angola/CERI-KRISP-K012693/2021	Africa	Angola
Angola/CERI-KRISPK013386/2021	Africa	Angola
Angola/CERI-KRISPK013392/2021	Africa	Angola
Angola/CERI-KRISP-K013409/2021	Africa	Angola
Angola/CERI-KRISP-K013646/2021	Africa	Angola
Angola/KRISP-K009739/2021	Africa	Angola
Angola/KRISP-K009766/2021	Africa	Angola
Angola/KRISP-K010864/2021	Africa	Angola
Angola/KRISP-K009740/2021	Africa	Angola
Angola/CERI-KRISP-K013400/2021	Africa	Angola
Angola/CERI-KRISP-K011676/2021	Africa	Angola
Angola/CERI-KRISP-K018937/2021	Africa	Angola
Angola/CERI-KRISP-K013411/2021	Africa	Angola
Angola/CERI-KRISP-K013422/2021	Africa	Angola
Angola/CERI-KRISP-K012660/2021	Africa	Angola
Angola/CERI-KRISP-K012672/2021	Africa	Angola
Angola/CERI-KRISP-K014896/2021	Africa	Angola
Angola/CERI-KRISP-K012646/2021	Africa	Angola
Angola/CERI-KRISP-K013773/2020	Africa	Angola
Angola/CERI-KRISP-K013772/2020	Africa	Angola
Angola/CERI-KRISP-K013617/2021	Africa	Angola
Angola/CERI-KRISP-K013690/2020	Africa	Angola
Angola/CERI-KRISP-K012700/2021	Africa	Angola
Angola/CERI-KRISP-K012699/2021	Africa	Angola
Angola/CERI-KRISP-K012728/2021	Africa	Angola
Angola/CERI-KRISP-K012642/2021	Africa	Angola
Angola/CERI-KRISP-K014898/2021	Africa	Angola
Angola/CERI-KRISP-K013433/2021	Africa	Angola
Angola/CERI-KRISP-K013408/2021	Africa	Angola
Angola/CERI-KRISPK013374/2021	Africa	Angola
Angola/CERI-KRISP-K013754/2020	Africa	Angola
Angola/CERI-KRISP-K013765/2020	Africa	Angola
Angola/CERI-KRISPK013418/2021	Africa	Angola
Angola/CERI-KRISP-K013710/2020	Africa	Angola
Angola/CERI-KRISP-K012732/2021	Africa	Angola
Angola/CERI-KRISPK013098/2021	Africa	Angola
Angola/CERI-KRISPK013093/2021	Africa	Angola
Angola/CERI-KRISP-K011679/2021	Africa	Angola
Angola/CERI-KRISP-K013708/2020	Africa	Angola
Angola/CERI-KRISP-K013705/2020	Africa	Angola
Angola/CERI-KRISP-K013721/2020	Africa	Angola
Angola/CERI-KRISP-K014887/2021	Africa	Angola
Angola/CERI-KRISP-K014894/2021	Africa	Angola
Angola/CERI-KRISP-K013704/2020	Africa	Angola
Angola/CERI-KRISPK013481/2021	Africa	Angola
Angola/CERI-KRISP-K013709/2020	Africa	Angola
Angola/CERI-KRISP-K013713/2020	Africa	Angola
Angola/CERI-KRISPK013361/2021	Africa	Angola
Angola/CERI-KRISP-K013763/2020	Africa	Angola
Angola/CERI-KRISPK013477/2021	Africa	Angola
Angola/CERI-KRISPK014882/2021	Africa	Angola
Angola/CERI-KRISPK013476/2021	Africa	Angola
Angola/CERI-KRISP-K013435/2021	Africa	Angola
Angola/CERI-KRISPK013482/2021	Africa	Angola
Angola/CERI-KRISP-K013718/2020	Africa	Angola
Angola/CERI-KRISP-K013696/2020	Africa	Angola
Angola/CERI-KRISP-K013717/2020	Africa	Angola
Angola/CERI-KRISPK013368/2021	Africa	Angola
Angola/CERI-KRISP-K013715/2020	Africa	Angola
Angola/CERI-KRISP-K013714/2020	Africa	Angola
Angola/CERI-KRISPK013332/2021	Africa	Angola
Angola/CERI-KRISP-K014875/2021	Africa	Angola
Angola/KRISP-K009770/2021	Africa	Angola
Angola/CERI-KRISP-K014883/2021	Africa	Angola
Angola/CERI-KRISP-K013471/2020	Africa	Angola
Angola/CERI-KRISPK013479/2021	Africa	Angola
Angola/CERI-KRISP-K013425/2021	Africa	Angola
Angola/CERI-KRISP-K013755/2020	Africa	Angola
Angola/CERI-KRISP-K013615/2021	Africa	Angola
Angola/CERI-KRISP-K013701/2020	Africa	Angola
Angola/CERI-KRISP-K014899/2021	Africa	Angola
Angola/CERI-KRISP-K013726/2021	Africa	Angola
Angola/CERI-KRISP-K013684/2020	Africa	Angola
Angola/CERI-KRISP-K013686/2020	Africa	Angola
Angola/CERI-KRISP-K013767/2020	Africa	Angola
Angola/CERI-KRISP-K013732/2021	Africa	Angola
Angola/CERI-KRISP-K013703/2020	Africa	Angola
Angola/CERI-KRISP-K014901/2021	Africa	Angola
Angola/CERI-KRISP-K013685/2020	Africa	Angola
Angola/CERI-KRISP-K013733/2020	Africa	Angola
Angola/CERI-KRISP-K013702/2020	Africa	Angola
Angola/CERI-KRISP-K013736/2020	Africa	Angola
Angola/CERI-KRISP-K014904/2021	Africa	Angola
Angola/CERI-KRISP-K013697/2020	Africa	Angola
Angola/CERI-KRISP-K013683/2020	Africa	Angola
Angola/CERI-KRISP-K013741/2020	Africa	Angola
Angola/KRISP-K011749/2021	Africa	Angola
Angola/CERI-KRISP-K013403/2021	Africa	Angola
Angola/CERI-KRISP-K013759/2020	Africa	Angola
Angola/CERI-KRISP-K013744/2020	Africa	Angola
Angola/CERI-KRISP-K013700/2020	Africa	Angola
Angola/CERI-KRISPK013330/2021	Africa	Angola
Angola/CERI-KRISP-K013432/2021	Africa	Angola
Angola/CERI-KRISP-K013720/2020	Africa	Angola
Angola/CERI-KRISP-K014872/2021	Africa	Angola
Angola/CERI-KRISP-K013698/2020	Africa	Angola
Angola/CERI-KRISP-K014893/2021	Africa	Angola
Angola/CERI-KRISP-K014500/2020	Africa	Angola
Austria/CeMM3560/2021	Europe	Austria
Austria/CeMM3619/2021	Europe	Austria
Austria/CeMM6388/2021	Europe	Austria
Austria/AKH1/2021	Europe	Austria
Austria/CeMM3584/2021	Europe	Austria
Austria/CeMM3611/2021	Europe	Austria
Austria/CeMM5883/2021	Europe	Austria
Austria/CeMM3642/2021	Europe	Austria
Austria/CeMM3620/2021	Europe	Austria
Austria/CeMM3559/2021	Europe	Austria
Austria/CeMM6352/2021	Europe	Austria
Austria/CeMM6389/2021	Europe	Austria
Austria/CeMM3622/2021	Europe	Austria
Austria/CeMM3583/2021	Europe	Austria
Austria/CeMM3647/2021	Europe	Austria
Austria/CeMM3616/2021	Europe	Austria
Austria/CeMM5879/2021	Europe	Austria
Austria/CeMM5878/2021	Europe	Austria
Austria/CeMM3854/2021	Europe	Austria
Austria/CeMM3623/2021	Europe	Austria
Austria/CeMM5768/2021	Europe	Austria
Austria/CeMM6392/2021	Europe	Austria
Austria/CeMM8741/2021	Europe	Austria
Austria/CeMM8718/2021	Europe	Austria
Austria/CeMM8715/2021	Europe	Austria
Austria/CeMM8729/2021	Europe	Austria
Austria/CeMM8788/2021	Europe	Austria
Austria/CeMM8752/2021	Europe	Austria
Austria/CeMM8717/2021	Europe	Austria
Austria/CeMM8706/2021	Europe	Austria
Austria/CeMM6391/2021	Europe	Austria
Austria/CeMM8705/2021	Europe	Austria
Austria/CeMM3577/2021	Europe	Austria
Austria/CeMM6415/2021	Europe	Austria
Austria/CeMM6414/2021	Europe	Austria
Austria/CeMM3578/2021	Europe	Austria
Austria/CeMM6427/2021	Europe	Austria
Austria/Voeklamarkt-02/2021	Europe	Austria
Austria/CeMM6393/2021	Europe	Austria
