strain	region	country
Algeria/12463/2022	Africa	Algeria
Algeria/12614/2022	Africa	Algeria
Algeria/12662/2022	Africa	Algeria
Algeria/12689/2022	Africa	Algeria
Algeria/2663/2022	Africa	Algeria
Algeria/3921/2022	Africa	Algeria
Argentina/INEI119242/2022	South America	Argentina
Argentina/INEI119405/2022	South America	Argentina
Argentina/INEI119216/2022	South America	Argentina
Australia/VIC44391/2022	Oceania	Australia
Australia/VIC43414/2022	Oceania	Australia
Australia/VIC44358/2022	Oceania	Australia
Australia/VIC44228/2022	Oceania	Australia
Australia/VIC44221/2022	Oceania	Australia
Australia/VIC44208/2022	Oceania	Australia
Australia/VIC44167/2022	Oceania	Australia
Australia/VIC44146/2022	Oceania	Australia
Australia/VIC44144/2022	Oceania	Australia
Australia/VIC43957/2022	Oceania	Australia
Australia/VIC43012/2022	Oceania	Australia
Australia/VIC41458/2022	Oceania	Australia
Australia/VIC41472/2022	Oceania	Australia
Australia/VIC41468/2022	Oceania	Australia
Australia/VIC41464/2022	Oceania	Australia
Australia/VIC44414/2022	Oceania	Australia
Australia/VIC41396/2022	Oceania	Australia
Australia/VIC41061/2022	Oceania	Australia
Australia/VIC40958/2022	Oceania	Australia
Australia/TAS001365/2022	Oceania	Australia
Australia/TAS001288/2022	Oceania	Australia
Australia/TAS001287/2022	Oceania	Australia
Australia/TAS001263/2022	Oceania	Australia
Australia/VIC41644/2022	Oceania	Australia
Australia/VIC44430/2022	Oceania	Australia
Australia/VIC44826/2022	Oceania	Australia
Australia/VIC44801/2022	Oceania	Australia
Australia/VIC45695/2022	Oceania	Australia
Australia/VIC45650/2022	Oceania	Australia
Australia/VIC45610/2022	Oceania	Australia
Australia/VIC45600/2022	Oceania	Australia
Australia/VIC45568/2022	Oceania	Australia
Australia/VIC45459/2022	Oceania	Australia
Australia/VIC45431/2022	Oceania	Australia
Australia/VIC45426/2022	Oceania	Australia
Australia/VIC45409/2022	Oceania	Australia
Australia/VIC45371/2022	Oceania	Australia
Australia/VIC45366/2022	Oceania	Australia
Australia/VIC45311/2022	Oceania	Australia
Australia/VIC45263/2022	Oceania	Australia
Australia/VIC45090/2022	Oceania	Australia
Australia/VIC45053/2022	Oceania	Australia
Australia/VIC45021/2022	Oceania	Australia
Australia/VIC45012/2022	Oceania	Australia
Australia/VIC44967/2022	Oceania	Australia
Australia/VIC44951/2022	Oceania	Australia
Australia/VIC44944/2022	Oceania	Australia
Australia/VIC44938/2022	Oceania	Australia
Australia/TAS001262/2022	Oceania	Australia
Australia/VIC44820/2022	Oceania	Australia
Australia/VIC44463/2022	Oceania	Australia
Australia/TAS001260/2022	Oceania	Australia
Australia/TAS001253/2022	Oceania	Australia
Australia/TAS001258/2022	Oceania	Australia
Australia/SA79146/2022	Oceania	Australia
Australia/SA65381/2022	Oceania	Australia
Australia/SA63563/2022	Oceania	Australia
Australia/SA59016/2022	Oceania	Australia
Australia/SA51079/2022	Oceania	Australia
Australia/SA159413/2022	Oceania	Australia
Australia/SA159297/2022	Oceania	Australia
Australia/SA157844/2022	Oceania	Australia
Australia/SA157231/2022	Oceania	Australia
Australia/SA156164/2022	Oceania	Australia
Australia/SA156124/2022	Oceania	Australia
Australia/SA156098/2022	Oceania	Australia
Australia/SA156046/2022	Oceania	Australia
Australia/SA156038/2022	Oceania	Australia
Australia/SA155926/2022	Oceania	Australia
Australia/SA154936/2022	Oceania	Australia
Australia/SA153893/2022	Oceania	Australia
Australia/SA153574/2022	Oceania	Australia
Australia/SA150462/2022	Oceania	Australia
Australia/SA149301/2022	Oceania	Australia
Australia/SA146609/2022	Oceania	Australia
Australia/SA146603/2022	Oceania	Australia
Australia/SA145769/2022	Oceania	Australia
Australia/SA79356/2022	Oceania	Australia
Australia/TAS001259/2022	Oceania	Australia
Australia/SA99431/2022	Oceania	Australia
Australia/TAS001176/2022	Oceania	Australia
Australia/TAS001256/2022	Oceania	Australia
Australia/VIC45769/2022	Oceania	Australia
Australia/TAS001252/2022	Oceania	Australia
Australia/TAS001251/2022	Oceania	Australia
Australia/TAS001249/2022	Oceania	Australia
Australia/TAS001248/2022	Oceania	Australia
Australia/TAS001247/2022	Oceania	Australia
Australia/TAS001246/2022	Oceania	Australia
Australia/TAS001245/2022	Oceania	Australia
Australia/TAS001244/2022	Oceania	Australia
Australia/TAS001243/2022	Oceania	Australia
Australia/TAS001241/2022	Oceania	Australia
Australia/TAS001240/2022	Oceania	Australia
Australia/TAS001239/2022	Oceania	Australia
Australia/TAS001238/2022	Oceania	Australia
Australia/TAS001231/2022	Oceania	Australia
Australia/TAS001229/2022	Oceania	Australia
Australia/TAS001226/2022	Oceania	Australia
Australia/TAS001224/2022	Oceania	Australia
Australia/TAS001223/2022	Oceania	Australia
Australia/TAS001220/2022	Oceania	Australia
Australia/TAS001205/2022	Oceania	Australia
Australia/TAS001201/2022	Oceania	Australia
Australia/SA99914/2022	Oceania	Australia
Australia/VIC45794/2022	Oceania	Australia
Australia/VIC45860/2022	Oceania	Australia
Australia/VIC45850/2022	Oceania	Australia
Australia/VIC47710/2022	Oceania	Australia
Australia/VIC47709/2022	Oceania	Australia
Australia/VIC47520/2022	Oceania	Australia
Australia/VIC47513/2022	Oceania	Australia
Australia/VIC47432/2022	Oceania	Australia
Australia/VIC47429/2022	Oceania	Australia
Australia/VIC47412/2022	Oceania	Australia
Australia/VIC47369/2022	Oceania	Australia
Australia/VIC47368/2022	Oceania	Australia
Australia/VIC47367/2022	Oceania	Australia
Australia/VIC47366/2022	Oceania	Australia
Australia/VIC47361/2022	Oceania	Australia
Australia/VIC47344/2022	Oceania	Australia
Australia/VIC47337/2022	Oceania	Australia
Australia/VIC47328/2022	Oceania	Australia
Australia/VIC47292/2022	Oceania	Australia
Australia/VIC47287/2022	Oceania	Australia
Australia/VIC47266/2022	Oceania	Australia
Australia/VIC47257/2022	Oceania	Australia
Australia/VIC47211/2022	Oceania	Australia
Australia/VIC47200/2022	Oceania	Australia
Australia/VIC47094/2022	Oceania	Australia
Australia/VIC47086/2022	Oceania	Australia
Australia/VIC47923/2022	Oceania	Australia
Australia/VIC46928/2022	Oceania	Australia
Australia/VIC47966/2022	Oceania	Australia
Australia/VIC47998/2022	Oceania	Australia
Thailand/DMSc-09092/2022	Asia	Thailand
Singapore/2724/2022	Asia	Singapore
Singapore/1815/2022	Asia	Singapore
Japan/IC-6553/2022	Asia	Japan
Australia/WA973/2022	Oceania	Australia
Australia/WA951/2022	Oceania	Australia
Australia/WA1397/2022	Oceania	Australia
Australia/WA1346/2022	Oceania	Australia
Australia/WA1341/2022	Oceania	Australia
Australia/WA1269/2022	Oceania	Australia
Australia/WA1062/2022	Oceania	Australia
Australia/WA1056/2022	Oceania	Australia
Australia/WA1014/2022	Oceania	Australia
Australia/WA1013/2022	Oceania	Australia
Australia/VIC51423/2022	Oceania	Australia
Australia/VIC51417/2022	Oceania	Australia
Australia/VIC51410/2022	Oceania	Australia
Australia/VIC51328/2022	Oceania	Australia
Australia/VIC48294/2022	Oceania	Australia
Australia/VIC48259/2022	Oceania	Australia
Australia/VIC48181/2022	Oceania	Australia
Australia/VIC48012/2022	Oceania	Australia
Australia/VIC48010/2022	Oceania	Australia
Australia/VIC47978/2022	Oceania	Australia
Australia/VIC45840/2022	Oceania	Australia
Australia/VIC46879/2022	Oceania	Australia
Australia/VIC46848/2022	Oceania	Australia
Australia/VIC46515/2022	Oceania	Australia
Australia/VIC46513/2022	Oceania	Australia
Australia/VIC46389/2022	Oceania	Australia
Australia/VIC46368/2022	Oceania	Australia
Australia/VIC46361/2022	Oceania	Australia
Australia/VIC46357/2022	Oceania	Australia
Australia/VIC46351/2022	Oceania	Australia
Australia/VIC46292/2022	Oceania	Australia
Australia/VIC46274/2022	Oceania	Australia
Australia/VIC46273/2022	Oceania	Australia
Australia/VIC46272/2022	Oceania	Australia
Australia/VIC46266/2022	Oceania	Australia
Australia/VIC46244/2022	Oceania	Australia
Australia/VIC46134/2022	Oceania	Australia
Australia/VIC46125/2022	Oceania	Australia
Australia/VIC46104/2022	Oceania	Australia
Australia/VIC46089/2022	Oceania	Australia
Australia/VIC46071/2022	Oceania	Australia
Australia/VIC45931/2022	Oceania	Australia
Australia/VIC45901/2022	Oceania	Australia
Australia/VIC45886/2022	Oceania	Australia
Australia/SA145364/2022	Oceania	Australia
Australia/VIC45851/2022	Oceania	Australia
Australia/VIC46516/2022	Oceania	Australia
Australia/VIC46867/2022	Oceania	Australia
Australia/VIC46531/2022	Oceania	Australia
Australia/VIC46559/2022	Oceania	Australia
Australia/VIC46842/2022	Oceania	Australia
Australia/VIC46837/2022	Oceania	Australia
Australia/VIC46835/2022	Oceania	Australia
Australia/VIC46822/2022	Oceania	Australia
Australia/VIC46820/2022	Oceania	Australia
Australia/VIC46819/2022	Oceania	Australia
Australia/VIC46815/2022	Oceania	Australia
Australia/VIC46814/2022	Oceania	Australia
Australia/VIC46807/2022	Oceania	Australia
Australia/VIC46804/2022	Oceania	Australia
Australia/VIC46797/2022	Oceania	Australia
Australia/VIC46790/2022	Oceania	Australia
Australia/VIC46782/2022	Oceania	Australia
Australia/VIC46746/2022	Oceania	Australia
Australia/VIC46693/2022	Oceania	Australia
Australia/VIC46683/2022	Oceania	Australia
Australia/VIC46682/2022	Oceania	Australia
Australia/VIC46648/2022	Oceania	Australia
Australia/VIC46632/2022	Oceania	Australia
Australia/VIC46625/2022	Oceania	Australia
Australia/VIC46582/2022	Oceania	Australia
Australia/VIC46581/2022	Oceania	Australia
Australia/VIC46573/2022	Oceania	Australia
Australia/VIC46553/2022	Oceania	Australia
Australia/SA143170/2022	Oceania	Australia
Australia/VIC46629/2022	Oceania	Australia
Australia/SA139650/2022	Oceania	Australia
Australia/NSW-ICPMR-22138/2022	Oceania	Australia
Australia/NSW-ICPMR-22098/2022	Oceania	Australia
Australia/NSW-ICPMR-22093/2022	Oceania	Australia
Australia/NSW-ICPMR-22090/2022	Oceania	Australia
Australia/NSW-ICPMR-22088/2022	Oceania	Australia
Australia/NSW-ICPMR-22079/2022	Oceania	Australia
Australia/NSW-ICPMR-22078/2022	Oceania	Australia
Australia/NSW-ICPMR-21987/2022	Oceania	Australia
Australia/NSW-ICPMR-21973/2022	Oceania	Australia
Australia/NSW-ICPMR-21970/2022	Oceania	Australia
Australia/NSW-ICPMR-21952/2022	Oceania	Australia
Australia/NSW-ICPMR-21950/2022	Oceania	Australia
Australia/NSW-ICPMR-21947/2022	Oceania	Australia
Australia/NSW-ICPMR-21946/2022	Oceania	Australia
Australia/NSW-ICPMR-21945/2022	Oceania	Australia
Australia/NSW-ICPMR-21879/2022	Oceania	Australia
Australia/NSW-ICPMR-21877/2022	Oceania	Australia
Australia/NSW-ICPMR-21806/2022	Oceania	Australia
Australia/NSW-ICPMR-21804/2022	Oceania	Australia
Australia/NSW-ICPMR-21800/2022	Oceania	Australia
Australia/NSW-ICPMR-21799/2022	Oceania	Australia
Australia/NSW-ICPMR-21796/2022	Oceania	Australia
Australia/NSW-ICPMR-21726/2022	Oceania	Australia
Australia/NSW-ICPMR-22156/2022	Oceania	Australia
Australia/NSW-ICPMR-21722/2022	Oceania	Australia
Australia/NSW-ICPMR-22160/2022	Oceania	Australia
Australia/NSW-ICPMR-22164/2022	Oceania	Australia
Australia/NSW-ICPMR-22323/2022	Oceania	Australia
Australia/NSW-ICPMR-22322/2022	Oceania	Australia
Australia/NSW-ICPMR-22316/2022	Oceania	Australia
Australia/NSW-ICPMR-22305/2022	Oceania	Australia
Australia/NSW-ICPMR-22301/2022	Oceania	Australia
Australia/NSW-ICPMR-22290/2022	Oceania	Australia
Australia/NSW-ICPMR-22284/2022	Oceania	Australia
Australia/NSW-ICPMR-22283/2022	Oceania	Australia
Australia/NSW-ICPMR-22269/2022	Oceania	Australia
Australia/NSW-ICPMR-22246/2022	Oceania	Australia
